id	sentence	a	b	without_marker
0	I expect Microsoft to move on to vectorized windows and icons, to offer better scalability and sharp looking UI.	Sharp	Microsoft	True
1	Really what your asking is which is better; microsoft made a retarted language basic and built up and bastardised itself, C sharp is MS trying to mess with the compiler market and make it harder to make cross platform software.	Sharp	Microsoft	True
2	Microsoft claims that on the PC, online sources are growing much faster than DVD & broadcast TV consumption, are all in sharp decline.	Sharp	Microsoft	True
3	Nokias) have seen a sharp decline from 11.9% to a measly 2.5% - a drop worse than even Microsoft might have imagined.	Sharp	Microsoft	True
4	The Microsoft .NET Framework, which you can use with any .NET programming language such as C# (C sharp) or Visual Basic.NET, has solid support for regular expressions.	Sharp	Microsoft	True
5	The new visual hotness, according to Microsoft (and pictured above), is "Metro," with its sharp corners, solid colors and plain white window frames-known as "chrome"-by default.	Sharp	Microsoft	True
6	Also, DigiTimes is reporting that sources have told them Microsoft may increase the price of OEM versions of Windows 8, which could make it harder on system builders to keep their prices sharp, especially on the Ultrabooks.	Sharp	Microsoft	True
7	In fact, Psion made several amazing PDA's and sub-notebook-like products in the mid-to-late 90's that were often judged superior to the Palm, Sharp, and Microsoft PDA's of the day.	Sharp	Microsoft	True
8	Its great features include: 1. Written in 100 percent Visual C Sharp (CLS Compliant) 2. Integrated with Microsoft Visual Studio 2003 and 2005 3. Friendly usability and interactivity 4. Point and Figure exposed as API 5. FCC runs faster.	Sharp	Microsoft	True
9	Today's agreement allows Sharp to incorporate the latest file system from Microsoft in its product portfolio and deliver faster response times and greater storage capabilities to consumers around the globe.	Sharp	Microsoft	True
10	So Enterprise Developer is nothing more than a thinly veiled lure, hardly subtle but Microsoft is a business and you worse in the high-street so lets get over calling this a sharp practice.	Sharp	Microsoft	True
11	Particular scorn was reserved for technology and internet stocks, predicting a sharp downward spiral not just for "gravity-defying internet shares such as Yahoo! and Excite", but also for more solid tech-related companies such as Microsoft, Cisco, and Dell.	Sharp	Microsoft	True
12	Cuban obviously delights in technology, but in sharp contrast to large companies like Microsoft, he is less beholden to the bottom line and is still able to pursue better technology because it's the right thing to do.	Sharp	Microsoft	True
13	Lookalikes from Sharp, Hewlett-Packard and others accounted for sales of 1 million units.	Sharp	Hewlett-Packard	False
14	Hewlett-Packard and Sharp are also located within the town of Camas.	Sharp	Hewlett-Packard	False
15	Its first handheld device, the Zoomer, was eclipsed by competitors from Hewlett-Packard, Apple and Sharp.	Sharp	Hewlett-Packard	False
16	Sharp is considering a photocopier-business partnership with Hewlett-Packard Co., another source said Thursday.	Sharp	Hewlett-Packard	False
17	The company has also created chips for many computers made by Sharp and Hewlett-Packard.	Sharp	Hewlett-Packard	False
18	Major manufacturers such as Panasonic, Hewlett-Packard, Sharp and Toshiba have all launched recycling efforts.	Sharp	Hewlett-Packard	False
19	With Hewlett-Packard , we began buying it after a sharp sell-off.	Sharp	Hewlett-Packard	False
20	Principal Competitors: Canon Inc.; Ricoh Company, Ltd.; Hewlett-Packard Company; Sharp Corporation; Konica Minolta Holdings, Inc.	Sharp	Hewlett-Packard	False
21	"Sharp, Hewlett-Packard and several other firms already ship 'Palm PCs' with USB support," he commented.	Sharp	Hewlett-Packard	False
22	NEC, Sony, Panasonic, Sim2, Sharp...produce much better products in my opinion..	Sharp	NEC	False
23	NEC NP-UM330W  2/15/14   The NP-UM330W is an exceptionally sharp ultra-short throw projector that offers 3300 lumens and a better than most value proposition.	Sharp	NEC	False
24	To better compete internationally, Japanese cell phone makers like Sharp, Sony Ericsson, NEC and Kyocera will all adopt Google's Android mobile operating system.	Sharp	NEC	False
25	The eight main domestic makers of cell phones over here (Casio, Hitachi, NEC, Sharp, Toshiba, Fujitsu, Panasonic and Kyocera) sold 19 percent fewer handsets in 2008 and things look even worse in 2009.	Sharp	NEC	False
26	LG, Sharp and NEC together account for 54% of the recurring revenues while Research In Motion (RIMM), High Tech Computer Corporation, Sierra Wireless (NASDAQ: SWIR ) and Option Wireless Technology also have solid licensing deals with the company.	Sharp	NEC	False
27	Pros: 1.sharp screen, beatiful color 2. very good adjust navigation 3.Solid stand, easy to adjust 4. NEC brand, good pricing which overall make this an excellent deal to buy	Sharp	NEC	False
28	Superior performance Best-in-class 8-bit active matrix IPS panel with 96.7% coverage of AdobeRGB color space and 178° horizontal and vertical viewing angle, complete with 1,000:1 contrast ratio, 1920 x 1200 native resolution, 360 cd/m2 brightness, the NEC P241W-BK-SV delivers super sharp images and incredibly bright, life-like pictures.	Sharp	NEC	False
29	I'm doing an install right now with a sharp 10.4" panel that's full reflective, totally sick in the sun, with no backlight at all! the technology with smaller lcd's is getting better all the time, this is latest greatest so far from nec & it sure looks cool	Sharp	NEC	False
30	Shmuppers whose "careers" reach back far enough usually praise the Sega Genesis as the superior 16-bit shooter console over the Super Nintendo (for the sake of brevity let's not bring the TG-16 into this scenario), and no singular factor is more directly responsible for this disparity than Thunder Force - while its origins lie on Sharp, NEC and Fujitsu computers as an overhead free-scroller, the developers soon began experimenting with side-view segments which would come to exclusively define Thunder Force III and IV, the most consistently beloved of the bunch.	Sharp	NEC	False
31	Select One 3Com Aastra Ad-ON-HOLD ADC Krone Adtran Allworx Apple APW Asuzi Audible Audiovox Avaya Bellsouth Brother Cisco Cmx Code A Phone Conair Eagle Equinox Ericsson Executone Extrom Fujitsu Futura Galaxy General Electric Grandstream GTE Hitachi Inter-Tel Ipc Iwatsu Kanda Key System US Linksys Macrotel Mitel Motorola Solutions Murata NEC Nortel Northern Electric Northwestern Bell Oki Panasonic Pks Communications Inc. Polycom Radioshack Rolm Sampo Samsung San-Bar Sanyo Sharp Siemens Snom Solid State Systems Sony Southwestern Bell Sprint SRX Stromberg Carlson Sun Moon Star Tadiran TEC Telamon Telco Telcomtech Teledex Vertical-Comdial Vertical-Vodavi	Sharp	NEC	False
32	Sharp! oys, Microsoft Sync.	Microsoft	Sharp	False
33	C Sharp belongs to Microsoft.	Microsoft	Sharp	False
34	Toby Sharp Microsoft Research Cambridge	Microsoft	Sharp	False
35	by John Sharp, Microsoft Press	Microsoft	Sharp	False
36	Sony, Panasonic, Sharp, Nintendo and Microsoft.	Microsoft	Sharp	False
37	Sharp Licenses Smartphone Patents from Microsoft	Microsoft	Sharp	False
38	// Hello World in Microsoft C# ("C-Sharp").	Microsoft	Sharp	False
39	National Science Foundation, Microsoft and Sharp	Microsoft	Sharp	False
40	Gee those Microsoft guys are sharp!".	Microsoft	Sharp	False
41	Microsoft, Hewlett-Packard,...	Microsoft	Hewlett-Packard	False
42	Hewlett-Packard and Microsoft.	Microsoft	Hewlett-Packard	False
43	Microsoft, Hewlett-Packard	Microsoft	Hewlett-Packard	False
44	-  Microsoft, Hewlett-Packard ...	Microsoft	Hewlett-Packard	False
45	Textuality, Hewlett-Packard, and Microsoft.	Microsoft	Hewlett-Packard	False
46	As do Hewlett-Packard and Microsoft.	Microsoft	Hewlett-Packard	False
47	(Hewlett-Packard in letter to Microsoft.)	Microsoft	Hewlett-Packard	False
48	-  Warner Bros. Entertainment, Netflix, Microsoft, Hewlett-Packard ...	Microsoft	Hewlett-Packard	False
49	Hewlett-Packard, Microsoft, and Wal-Mart.	Microsoft	Hewlett-Packard	False
50	Microsoft is working with Hewlett-Packard.	Microsoft	Hewlett-Packard	False
51	Apple vs. Hewlett-Packard and Microsoft	Microsoft	Hewlett-Packard	False
52	Hewlett-Packard and Microsoft designed sRGB.	Microsoft	Hewlett-Packard	False
53	NEC, Polycom, Microsoft.	Microsoft	NEC	False
54	Microsoft, NEC to Expand Partnership	Microsoft	NEC	False
55	MACHINES CORPORATION, INTEL CORPORATION, MICROSOFT CORPORATION, NEC	Microsoft	NEC	False
56	(Microsoft has 55,000 employees, NEC has 115,000).	Microsoft	NEC	False
57	Sun Microsystems, NEC, Sgi, Microsoft and Google.	Microsoft	NEC	False
58	HD DVD is backed by Toshiba, NEC, Intel, and Microsoft.	Microsoft	NEC	False
59	Microsoft NEC USB Disket Sürücü Free Driver Download	Microsoft	NEC	False
60	Compaq, Hewlett-Packard, Intel, Lucent, Microsoft, NEC, Philips.	Microsoft	NEC	False
61	HD-DVD backers include Toshiba, NEC, Microsoft, and Intel.	Microsoft	NEC	False
62	IBM PC Company, Intel, Microsoft, NEC, and Northern Telecom.	Microsoft	NEC	False
63	Acer, Panasonic, Hewlett-Packard, NEC	Hewlett-Packard	NEC	False
64	Cisco, Extreme, Hewlett-Packard, IBM and NEC lean this direction.	Hewlett-Packard	NEC	False
65	Other initial backers were Hewlett-Packard, Dell, and NEC.	Hewlett-Packard	NEC	False
66	Compaq Hewlett-Packard Intel Lucent Microsoft NEC Philips	Hewlett-Packard	NEC	False
67	A host of companies are currently selling IPS monitors, including Dell, NEC, and Hewlett-Packard.	Hewlett-Packard	NEC	False
68	Dell, Hewlett-Packard and NEC Computers Inc. have voiced similar support.	Hewlett-Packard	NEC	False
69	Current SPECgpc members include AMD, Dell, Fujitsu, Hewlett-Packard, Intel, Lenovo, NEC and NVIDIA.	Hewlett-Packard	NEC	False
70	Manufacturers include Compaq, Dell, Fujitsu, Gateway, Hewlett-Packard, IBM, Micron, NEC and Toshiba.	Hewlett-Packard	NEC	False
71	Founding members of OSDL include Hewlett-Packard, NEC, Intel, IBM, and Caldera Systems.	Hewlett-Packard	NEC	False
72	Hewlett-Packard, Matsushita, NEC, Fujitsu, Toshiba, Hitachi, and Siemens also have invested in MRAM research.	Hewlett-Packard	NEC	False
73	The manufacturers involved include Compaq, Fujitsu-Siemens, Gateway, Hewlett-Packard, IBM and NEC.	Hewlett-Packard	NEC	False
74	The licensees include Hewlett-Packard, Fujitsu, NEC and Toshiba, among others.	Hewlett-Packard	NEC	False
75	Up next, who's better for business, with BET founder Bob Johnson and former Hewlett-Packard CEO Carly Fiorina.	Hewlett-Packard	Founder	False
76	Criminals use a variety of methods to inject malware into websites, including SQL injection and cross-site scripting, but the attacks are getting more sophisticated and harder to detect, said Caleb Sima, Armorize CEO and founder of SPI Dynamics, which was acquired by Hewlett-Packard Co. in 2007.	Hewlett-Packard	Founder	False
77	Buying Fusion-io, which went public in June with Apple Inc. co-founder Wozniak as chief scientist, could help companies from Dell Inc. to Hewlett-Packard Co. and International Business Machines Corp. make their servers run faster, said Benchmark Co. and Piper Jaffray Cos.	Hewlett-Packard	Founder	False
78	HANNOVER, Germany-Fusion-io, which makes enterprise solid-state storage arrays and recently signed Apple co-founder Steve Wozniak as its chief scientist, announced an OEM deal here March 3 with Hewlett-Packard to provide the huge systems company with its new StorageWorks IO Accelerator.	Hewlett-Packard	Founder	False
79	NEC and Fujitsu also said first-quarter earnings from chips were better than their estimates for the period.	NEC	Fujitsu	False
80	SGI did much better when the US government was afraid of Japanese imports - not cars, but NEC and Fujitsu supercomputers.	NEC	Fujitsu	False
81	And of course you never heard of Cray, NEC, Fujitsu or Hitachi for that matter..... the had even better specfp to Mhz ratio than the R8K.	NEC	Fujitsu	False
82	You will find Cooler Master thermal solutions inside the computer's of companies like IBM, Hewlett Packard, Gateway 2000, NEC, Packard Bell, Compaq, Fujitsu, Siemens, and a myriad of other respected brands worldwide.	NEC	Fujitsu	False
83	In the early and mid-1980s Japanese companies ( Fujitsu , Hitachi and Nippon Electric Corporation (NEC) introduced register-based vector machines similar to the Cray-1, typically being slightly faster and much smaller.	NEC	Fujitsu	False
84	Japanese companies Fujitsu Limited, NEC, and Anritsu today have demonstrated an optical network interface technology that will allow 100 gigabit-class communications over multiple optical networks, some 2.5- to 10-times faster than current speeds.	NEC	Fujitsu	False
85	Solid-CHF electronic Since its inception in 2007, has successfully launched SONY, IBM, DELL, HP, COMPAQ, TOSHIBA, ACER, APPLE, FUJITSU, ASUS, SAMSUNG, NEC, CANON and so on nearly a dozen more...	NEC	Fujitsu	False
86	Computations were performed on a NEC SX-9 at the Institute for Solid-State Physics, The University of Tokyo, and a Fujitsu PrimeQuest at the Research Center for Computational Science, Okazaki Research Facilities, National Institutes of Natural Sciences.	NEC	Fujitsu	False
