,id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
1005,F850961380,compsci,Java,Haskell,Haskell is much faster to write in and allows me to sort out conceptual problems before implementing anything in a procedural language like Java.,0.6765,1.0,1,0,4,NONE,4,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Haskell:[OBJECT_A]</span> is much faster to write in and allows me to sort out conceptual problems before implementing anything in a procedural language like <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",5,0.8059000000000001,0.8
45,H1164065192,brands,Cadillac,Buick,I imagine Buick and Cadillac would be doing better if their former segment of retirees knew what they were buying.,0.6471,1.0,0,0,5,NONE,5,3,2,"I imagine <span style=""color: #9A14B2; font-weight: bold"">Buick:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Cadillac:[OBJECT_B]</span> would be doing better if their former segment of retirees knew what they were buying.",5,0.78826,1.0
733,I1240489293,compsci,OpenGL,Direct3D,"In a scary twist that reinforces Valve's distaste for Windows 8 , it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL than Windows 7 and DirectX/Direct3D.",1.0,0.5238,4,0,1,BETTER,4,3,2,"In a scary twist that reinforces Valve's distaste for Windows 8 , it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and <span style=""color: #9A14B2; font-weight: bold"">OpenGL:[OBJECT_A]</span> than Windows 7 and DirectX/<span style=""color: #6CB219; font-weight: bold"">Direct3D:[OBJECT_B]</span>.",5,0.80952,0.8
1525,M2082395351,compsci,Eclipse,NetBeans,Refresh the project (in NetBeans or Eclipse),1.0,1.0,0,0,5,NONE,5,3,2,"Refresh the project (in <span style=""color: #9A14B2; font-weight: bold"">NetBeans:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Eclipse:[OBJECT_B]</span>)",5,1.0,1.0
47,R2835361841,brands,Microsoft,Sony,"(This is assuming , of course, that Microsoft and Sony continue their current strategy of bigger, better, faster.",1.0,1.0,0,0,5,NONE,5,3,2,"(This is assuming , of course, that <span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Sony:[OBJECT_B]</span> continue their current strategy of bigger, better, faster.",5,1.0,1.0
1209,E564012384,brands,Microsoft,Dell,"Dell is only vaguely interested in Linux, and there are still questions about if that is just the standard ploy to get a better Microsoft deal.",1.0,0.5414,0,1,4,NONE,4,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Dell:[OBJECT_A]</span> is only vaguely interested in Linux, and there are still questions about if that is just the standard ploy to get a better <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span> deal.",5,0.81656,0.8
1905,M1926920083,compsci,Oracle,MySQL,Oracle MySQL & Database 12C,1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> & Database 12C",5,1.0,1.0
464,F737750108,brands,Sigma,Nikon,"For any lens that Canon or Nikon offers, there is a response from Sigma or Tamron that is as good or sometimes better.",1.0,0.5013,0,4,1,WORSE,4,3,2,"For any lens that Canon or <span style=""color: #9A14B2; font-weight: bold"">Nikon:[OBJECT_A]</span> offers, there is a response from <span style=""color: #6CB219; font-weight: bold"">Sigma:[OBJECT_B]</span> or Tamron that is as good or sometimes better.",5,0.80052,0.8
337,E675329218,brands,Apple,Google,"Everybody - or well, almost everybody - knows that Apple Maps is inferior to Google Maps.",0.7506,0.5574,1,4,1,WORSE,4,4,2,"Everybody - or well, almost everybody - knows that <span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span> Maps is inferior to <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> Maps.",6,0.6861999999999999,0.6666666666666666
1618,S2983227885,compsci,Python,Bash,"Use of continuous integration tools including (Jenkins/Go/Travis CI) Solid understanding of Scripting languages (Shell, Bash, Python) Configuration Management (Puppet/Ansible) Experience of working in DevOps model and environments... Networking Skills (LAN/WAN/Firewall) Desirable Skills and Experience: SC...",1.0,1.0,0,0,5,NONE,5,3,2,"Use of continuous integration tools including (Jenkins/Go/Travis CI) Solid understanding of Scripting languages (Shell, <span style=""color: #9A14B2; font-weight: bold"">Bash:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>) Configuration Management (Puppet/Ansible) Experience of working in DevOps model and environments... Networking Skills (LAN/WAN/Firewall) Desirable Skills and Experience: SC...",5,1.0,1.0
