id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,sentencer,paths,s_len
A102026242,middle_paths_unrestricted_16,7. google Plus is evolving faster than facebook,google,facebook,NONE,BETTER,1.0,lex (unique),7. google Plus is evolving faster than facebook,[['X/PROPN/compound/> evolve/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],47
A115608686,middle_paths_unrestricted_16,A better design would be to move the firewire port inbetween the second USB port and the Ethernet port.,USB,Ethernet,BETTER,NONE,0.8,lex (unique),"A better design would be to move the firewire port inbetween the', 'second USB port and the Ethernet port.","[['X/PROPN/compound/> port/NOUN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/compound/> port/NOUN/ROOT/^ the/DET/det/V Y/PROPN/conj/<']]",103
A122096766,middle_paths_unrestricted_16,AbuBakr Akram: The reason why Sony Vegas isn't stable for most of you is because it's one of the FEW video editing softwares that perform better with AMD's OpenCL than they do with Nvidia's CUDA cores.,OpenCL,CUDA,NONE,BETTER,0.8,lex (unique),"AbuBakr Akram: The reason why Sony Vegas isn't stable for most of you"", ""is because it's one of the FEW video editing softwares that perform"", ""better with AMD's OpenCL than they do with Nvidia's CUDA cores.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ do/VERB/advcl/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ nvidia/PROPN/poss/V Y/PROPN/pobj/<']]",201
A125675126,middle_paths_unrestricted_16,"According to Apple, who co-developed the protocol with Intel, Thunderbolt is up to 12 times faster than Firewire 800 and 20 times faster than USB2.",Apple,Intel,BETTER,NONE,0.8,lex (unique),"According to Apple, who co-developed the protocol with Intel,', 'Thunderbolt is up to 12 times faster than Firewire 800 and 20 times', 'faster than USB2.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ develop/VERB/relcl/V Y/PROPN/pobj/<']]",147
A138124849,middle_paths_unrestricted_16,"Actually I'm developing in Python using TDD, but I have solid know-ledges on Java and AspectJ.",Python,Java,BETTER,NONE,1.0,lex (unique),"Actually I'm developing in Python using TDD, but I have solid know-"", 'ledges on Java and AspectJ.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ use/VERB/acl/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ but/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ have/VERB/conj/V Y/PROPN/pobj/<']]",94
A157563823,middle_paths_unrestricted_16,After 15+ years of C++/Java and OO we would still all be better off programming in Lisp.,Java,Lisp,NONE,WORSE,1.0,lex (unique),"After 15+ years of C++/Java and OO we would still all be better off', 'programming in Lisp.","[['X/PROPN/dep/> be/VERB/ROOT/^ programming/NOUN/attr/< in/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/dep/> and/CONJ/cc/V be/VERB/ROOT/^ programming/NOUN/attr/<', 'in/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/dep/> oo/PROPN/conj/V be/VERB/ROOT/^ programming/NOUN/attr/<', 'in/ADP/prep/< Y/PROPN/pobj/<']]",88
A167933134,middle_paths_unrestricted_16,"After some basic performances checking as seen in my Common Lisp Sudoku Solver project where I did get up to ten times faster code when compared to Python, it felt like the amazing set of features of the language could be put to good use here.",Lisp,Python,NONE,BETTER,1.0,lex (unique),"After some basic performances checking as seen in my Common Lisp', 'Sudoku Solver project where I did get up to ten times faster code when', 'compared to Python, it felt like the amazing set of features of the', 'language could be put to good use here.","[['X/PROPN/compound/> project/NOUN/ROOT/^ compare/VERB/advcl/<', 'to/ADP/prep/< Y/PROPN/pobj/<']]",243
A17136163,middle_paths_unrestricted_16,"11/2/07) this year on Nov. 1, the good news for new CEO Robert Nardelli and his two vice-chairmen-incumbent Tom LaSorda and former Toyota Motor (TM) North America boss James Press-is that they have the autonomy to make decisions much faster than Chrysler could under Daimler (DAI).",Toyota,Chrysler,NONE,BETTER,1.0,lex (unique),"11/2/07) this year on Nov. 1, the good news for new CEO Robert', 'Nardelli and his two vice-chairmen-incumbent Tom LaSorda and former', 'Toyota Motor (TM) North America boss James Press-is that they have the', 'autonomy to make decisions much faster than Chrysler could under', 'Daimler (DAI).",[['NOPATH']],281
A35801407,middle_paths_unrestricted_16,"1994 October: IBM released OS/2 version 3.0, an operating system far superior to anything Microsoft had, or would have for years.",IBM,Microsoft,NONE,BETTER,0.6,lex (unique),"1994 October: IBM released OS/2 version 3.0, an operating system far', 'superior to anything Microsoft had, or would have for years.","[['X/PROPN/nsubj/> release/VERB/ROOT/^ version/NOUN/dobj/<', 'system/NOUN/appos/< superior/ADJ/amod/< to/ADP/prep/<', 'anything/NOUN/pobj/< Y/PROPN/dobj/<']]",129
A47034631,middle_paths_unrestricted_16,2012 michigan is much better than 2006 missouri.,michigan,missouri,NONE,BETTER,1.0,lex (unique),2012 michigan is much better than 2006 missouri.,[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/dobj/<']],48
