id	sentence	a	b	without_marker
T3281951048	You won't find a nicer, better quality studio in such a great location WITH laundry!!	location	studio	False
S2963846077	UNBELIEVABLE PRICE You won't find a nicer, better priced studio in such a great location WITH laundry!!	location	studio	False
F833202919	Great studio in a even better location	location	studio	False
J1427244345	"I took classes at the old location and the new studio is a lot nicer.	location	studio	False
L1781484320	Name: Michael Killoren & Benjamin Wiser Location: Studio City, California Size: 1 bedroom apartment Years lived in: 1½ - own	location	studio	False
F891745593	Help your customers accept credit and debit card transactions better, faster and easier with Vantiv PayFac .	credit	debit	False
A96524946	6. Always prefer Net Banking payment method over Debit/Credit Card, it's much safer, faster and easier.	credit	debit	False
J1444880951	It's easier and safer to hold onto than cash, regular debit cards, and credit cards.	credit	debit	False
I1242879943	In both kingdoms unisexuality is derived from bisexuality [4] -in both because thus self-fertilization is prevented and cross-fertilization secured; and this, again, because thus a better result is secured in the offspring.	cross-fertilization	self-fertilization	False
R2903144532	Tightness, swiftness and stylization might have served the play better.	play	tightness	False
I1329663576	I play faster paced metal where tightness and articulation is key so for me this was definitely not it.	play	tightness	False
L1827908503	NOTES: Rangers SS Elvis Andrus was feeling better but didn't play a day after coming out of Saturday night's game with tightness in his lower back.	play	tightness	False
H1104600343	If we stop the inappropriate attention, the delusion stops, the tightness in our body stops, and we can therefore play better.	play	tightness	False
M2065287311	Rangers SS Elvis Andrus was feeling better but didn't play a day after coming out of Saturday night's game with tightness in his lower back.	play	tightness	False
F847718686	Harder for egress and ingress.	egress	ingress	False
R2788237784	They made ingress/egress better on Saturday and Sunday, but the lines were still lousy.	egress	ingress	False
T3178632523	Wider bolsters allow easier vehicle ingress/egress	egress	ingress	False
E696297876	Far better to make mandatory sit-down baths and requisite handrails for safer ingress/egress.	egress	ingress	False
K1655884431	LSTs would provide better ingress and egress.	egress	ingress	False
G953233484	his underachievement would still be better than the 6'7" guys overachievement.	overachievement	underachievement	False
I1302955108	In the context of exams, it's better to feel elation from overachievement than disappointment from underachievement; everywhere else, mitigating the detrimental impacts of another person's actions by being cautious is better than being manipulated by assuming everyone has an amicable character.	overachievement	underachievement	False
I1277506502	In order to provide a strong incentive towards superior performance, the adjustment scales for the company performance factor were set such that overachievement against each goal would have resulted in upward adjustments at twice the rate at which similar levels of underachievement would have resulted in downward adjustments.	overachievement	underachievement	False
B280660640	And then he repeated the motion-retreat, advance-each plundering faster and harder.	retreat	advance	False
A151032898	Advance for thee is better than retreat."	retreat	advance	False
J1414327943	It is safer to retreat a foot, than to advance and inch."	retreat	advance	False
Q2699680470	These ice sheets advance during cooler glacial periods and retreat during warmer periods, known as interglacials.	retreat	advance	False
A150804322	"advance" and "retreat" would be much better words.	retreat	advance	False
J1422002224	It makes embarkation and debarkation much faster.	debarkation	embarkation	False
E557980406	Debarkation went even faster than embarkation.	debarkation	embarkation	False
E557980068	Debarkation was even easier than embarkation.	debarkation	embarkation	False
G940227465	Highlights: Embarkation and Debarkation at Port Canaveral cannot be easier or faster.	debarkation	embarkation	False
E557980130	Debarkation was much better that embarkation.	debarkation	embarkation	False
J1494183817	I understand those who say..what about the rest of the ship?? Well, we get butler service, top food on & off menu, superior service, Prority boarding/disembarkation in a stateroom of 380sq.	boarding	disembarkation	False
E627197471	Each category comes with different perks including complimentary champagne brunches, day passes to the Greenhouse Spa & Salon, collectible gifts, and simple perks that make boarding and disembarking easier like priority check-in, priority tender and priority disembarkation.	boarding	disembarkation	False
O2419817909	The boarding/embarkation experience and the disembarkation experience were both better than we have experienced on other lines so that part was terrific - the highlight of the trip, sadly.	boarding	disembarkation	False
M1962851947	Packaging Is All the Rage While the cruise industry hasn't gone as ancillary-fee-crazy as the airlines have, they are adding more fee-based amenities and services, such as additional specialty dining options, priority boarding, late disembarkation and faster cabin access.	boarding	disembarkation	False
O2300815939	ST Express probably has a harder time proving fare evasion when they don't offer proof-of-payment.	evasion	payment	False
R2861797971	This practice, as well as various forms of evasion of payment, made financial circumstances particularly unstable for teachers, who might suddenly leave for another region in search of better fortunes.	evasion	payment	False
P2578506460	Then-head of the Bank of Italy Mario Draghi, now newly appointed Head of the European Central Bank, called tax evasion "social butchery," pointing out that it shifted the burden of payment onto the poorer and weaker sections of society, polarizing the increasing gap between rich and poor.	evasion	payment	False
