worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
6335115,3434703,0,0,0,0,clixsense,,,,,,,0,,1.0,0
6345217,3574085,5,3,5,0,clixsense,BRA,26,Florianopolis,191.191.100.141,,,0,,0.4,0
6362816,3528847,0,0,0,0,clixsense,,,,,,,0,,1.0,0
7202055,3488459,0,0,0,0,clixsense,,,,,,,0,,1.0,0
10422922,3696382,5,2,5,0,clixsense,PAK,05,Karachi,202.5.154.134,,,0,,0.6,300
12216479,AA35133085E8653C41A29D4352C72707,5,1,5,0,neodev,PRT,07,Coimbra,144.64.59.201,,,0,,0.8,300
14218973,4835763,5,2,5,0,clixsense,UKR,"","",89.21.76.50,,,0,,0.6,300
15505671,5014565,0,0,0,0,clixsense,,,,,,,0,,1.0,0
20306047,27165FC926DAC53F6964A2442E880D82,25,0,7,2,neodev,GBR,C3,Ely,89.240.36.160,,,0,,1.0,300
21628557,5DA301F4751485B9044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
24002472,6207597,35,1,11,0,clixsense,ITA,15,Camporotondo Etneo,82.53.44.10,,,0,,0.9091,350
28173416,6528740,10,1,6,0,clixsense,BRA,27,Sao Paulo,179.54.161.146,,,0,,0.8333,300
29042907,4B367D57CA77658141A29D4352C72707,10,1,5,1,neodev,ROU,14,Constanta,5.14.66.118,,,0,,0.8,300
30394474,2361788,10,2,6,0,clixsense,UKR,17,Odessa,78.26.147.14,,,0,,0.6667,300
30904966,DF9E4413AABD2C2E24750D543524A854,5,1,5,0,neodev,VEN,"","",190.37.63.177,,,0,,0.8,300
31791015,7269797,5,1,4,1,clixsense,MAR,50,Settat,105.157.202.195,,,0,,0.75,300
31903604,60813,0,0,0,0,elite,,,,,,,0,,1.0,0
32206883,7386518,0,0,0,0,clixsense,,,,,,,0,,1.0,0
32333519,277332,5,1,5,0,gifthunterclub,VEN,25,Caracas,190.79.220.137,,,0,,0.8,300
33056318,3913E2FB7DF40DB8DD6A67EA287D2489,15,2,7,0,neodev,VEN,19,Cumaná,190.198.249.24,,,0,,0.7143,300
33102233,72249,15,1,7,0,elite,VNM,20,Ho Chi Minh City,115.77.220.177,,,0,,0.8571,300
33526008,7791305,10,0,6,0,clixsense,MYS,12,Petaling Jaya,118.101.16.92,,,0,,1.0,600
33664760,21654C606FB49AB6890DB111AF121511,20,1,7,1,neodev,VEN,13,Barquisimeto,190.142.84.66,,,0,,0.8571,300
33973110,8CEFC6B372C09C81646998E1CBB70BF7,0,0,0,0,neodev,,,,,,,0,,1.0,0
34457264,8043578,5,0,5,0,clixsense,IND,28,Kolkata,27.63.139.19,,,0,,1.0,0
34949514,92479,5,0,5,0,elite,VEN,25,Caracas,201.242.218.21,,,0,,1.0,0
35271549,96139,0,0,0,0,elite,,,,,,,0,,1.0,0
35802597,E998DD04FB119E59D4ACF736FDEB0260,5,2,5,0,neodev,VEN,"","",190.38.16.28,,,0,,0.6,300
36113457,8B1510A0C617C805A72773646D413314,10,0,6,0,neodev,EGY,11,Cairo,41.237.6.9,,,0,,1.0,300
36985538,6EE7F0B63FB90A84B54F3332206396E9,5,0,5,0,neodev,VEN,14,Mérida,186.95.245.254,,,0,,1.0,300
37041000,397CF4E9B40DB90F13B45070835AF903,0,0,0,0,neodev,,,,,,,0,,1.0,0
37119363,79724069A6B6941423F77D1F6B68FDEC,5,1,5,0,neodev,VEN,15,Guatire,190.153.38.145,,,0,,0.8,0
