_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,label:confidence,a,also_acceptable,b,gold_label,id,label_gold,marker,raw_text,text_html,text_readable,type,pair
1543286508,False,finalized,3,1/12/2018 13:41:11,WORSE,0.6842,juice,,cider,W,B326110412,,True,"Apple cider vinegar will taste better then white, but lemon juice is the best tasting.","Apple <span style=""color: #9A14B2; font-weight: bold"">cider:[OBJECT_A]</span> vinegar will taste better then white, but lemon <span style=""color: #6CB219; font-weight: bold"">juice:[OBJECT_B]</span> is the best tasting.","Apple *cider* vinegar will taste better then white, but lemon §juice$ is the best tasting.",jbt,"cider, juice"
1543286509,False,finalized,3,1/12/2018 13:34:56,WORSE,1.0,google,,amazon,W,J1521912207,,True,I was using Google music but amazon is just better.,"I was using <span style=""color: #9A14B2; font-weight: bold"">google:[OBJECT_A]</span> music but <span style=""color: #6CB219; font-weight: bold"">amazon:[OBJECT_B]</span> is just better.",I was using *google* music but §amazon$ is just better.,jbt,"amazon, google"
1543286510,False,finalized,3,1/12/2018 13:37:24,OTHER,0.7158,carolina,,pennsylvania,W,M1979675884,,True,"Pennsylvania is no better, but states such as South Carolina and Florida have no estate or inheritance tax.","<span style=""color: #9A14B2; font-weight: bold"">pennsylvania:[OBJECT_A]</span> is no better, but states such as South <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span> and Florida have no estate or inheritance tax.","*pennsylvania* is no better, but states such as South §carolina$ and Florida have no estate or inheritance tax.",jbt,"carolina, pennsylvania"
1543286511,False,finalized,3,1/12/2018 13:36:56,WORSE,1.0,fox,,cnn,W,B317690396,,True,"Anyway, between Beck and Lou Dobbs, CNN is frequently far worse than Fox News.","Anyway, between Beck and Lou Dobbs, <span style=""color: #9A14B2; font-weight: bold"">cnn:[OBJECT_A]</span> is frequently far worse than <span style=""color: #6CB219; font-weight: bold"">fox:[OBJECT_B]</span> News.","Anyway, between Beck and Lou Dobbs, *cnn* is frequently far worse than §fox$ News.",jbt,"cnn, fox"
1543286512,False,finalized,3,1/12/2018 13:38:22,WORSE,1.0,wii,,gamecube,W,R2909183183,,True,To answer your question yes the Wii U is selling worse than the Gamecube and N64.,"To answer your question yes the <span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span> U is selling worse than the <span style=""color: #6CB219; font-weight: bold"">gamecube:[OBJECT_B]</span> and N64.",To answer your question yes the *wii* U is selling worse than the §gamecube$ and N64.,jbt,"gamecube, wii"
1543286513,False,finalized,3,1/12/2018 14:18:35,WORSE,1.0,stanford,,mit,W,K1722396324,,True,"MIT is harder to graduate from (on average probably, at minimum certainly) than HYP or Stanford.","<span style=""color: #9A14B2; font-weight: bold"">mit:[OBJECT_A]</span> is harder to graduate from (on average probably, at minimum certainly) than HYP or <span style=""color: #6CB219; font-weight: bold"">stanford:[OBJECT_B]</span>.","*mit* is harder to graduate from (on average probably, at minimum certainly) than HYP or §stanford$.",jbt,"mit, stanford"
1543286514,False,finalized,3,1/12/2018 13:35:50,WORSE,1.0,golf,,tennis,W,O2348728670,,True,"Tennis is so much harder on the body than golf, he said.","<span style=color: #9A14B2; font-weight: bold"">tennis:[OBJECT_A]</span> is so much harder on the body than <span style=""color: #6CB219; font-weight: bold"">golf:[OBJECT_B]</span>,"" he said.","*tennis* is so much harder on the body than §golf$, he said.",jbt,"golf, tennis"
1543286515,False,finalized,3,1/12/2018 13:40:50,WORSE,1.0,georgia,,missouri,W,T3161167094,,True,"While Missouri has solid football programs, they do not compare to states like Florida, Georgia and Texas.","While <span style=""color: #9A14B2; font-weight: bold"">missouri:[OBJECT_A]</span> has solid football programs, they do not compare to states like Florida, <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span> and Texas.","While *missouri* has solid football programs, they do not compare to states like Florida, §georgia$ and Texas.",jbt,"georgia, missouri"
1543286516,False,finalized,3,1/12/2018 13:35:31,OTHER,1.0,reagan,,nixon,W,L1858903515,,True,"Obama is much worse than Nixon, Reagan, and W. Bush all rolled into one.","Obama is much worse than <span style=""color: #9A14B2; font-weight: bold"">nixon:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">reagan:[OBJECT_B]</span>, and W. Bush all rolled into one.","Obama is much worse than *nixon*, §reagan$, and W. Bush all rolled into one.",jbt,"nixon, reagan"
1543286517,False,finalized,3,1/12/2018 13:40:38,WORSE,0.6476,stanford,,mit,W,T3220097683,,True,"Yale offered nothing at all really, MIT was a little nicer, but by far Stanford offered the best FA package.","Yale offered nothing at all really, <span style=""color: #9A14B2; font-weight: bold"">mit:[OBJECT_A]</span> was a little nicer, but by far <span style=""color: #6CB219; font-weight: bold"">stanford:[OBJECT_B]</span> offered the best FA package.","Yale offered nothing at all really, *mit* was a little nicer, but by far §stanford$ offered the best FA package.",jbt,"mit, stanford"
1543286518,False,finalized,3,1/12/2018 14:17:49,WORSE,1.0,football,,basketball,W,A58777035,,True,2) Basketball recruiting is slower than football.,"2) <span style=""color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span> recruiting is slower than <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span>.",2) *basketball* recruiting is slower than §football$.,jbt,"basketball, football"
1543286519,False,finalized,3,1/12/2018 14:17:49,WORSE,1.0,baseball,,tennis,W,H1172635608,,True,"I know I'm coming late to the party, but tennis is (in my mind) indisputably harder than baseball.","I know I'm coming late to the party, but <span style=""color: #9A14B2; font-weight: bold"">tennis:[OBJECT_A]</span> is (in my mind) indisputably harder than <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span>.","I know I'm coming late to the party, but *tennis* is (in my mind) indisputably harder than §baseball$.",jbt,"baseball, tennis"
1543286520,False,finalized,3,1/12/2018 13:39:52,WORSE,1.0,pizza,,pasta,W,Q2606714093,,True,"The pasta was mediocre, not as memorable as the pizza.","The <span style=""color: #9A14B2; font-weight: bold"">pasta:[OBJECT_A]</span> was mediocre, not as memorable as the <span style=""color: #6CB219; font-weight: bold"">pizza:[OBJECT_B]</span>.","The *pasta* was mediocre, not as memorable as the §pizza$.",jbt,"pasta, pizza"
1543286521,False,finalized,3,1/12/2018 13:37:37,WORSE,0.6158,laptop,,iphone,W,A109112123,,True,95% of the the things I do with my laptop on the road will be accomplished far easier and faster with the iPhone.,"95% of the the things I do with my <span style=""color: #9A14B2; font-weight: bold"">laptop:[OBJECT_A]</span> on the road will be accomplished far easier and faster with the <span style=""color: #6CB219; font-weight: bold"">iphone:[OBJECT_B]</span>.",95% of the the things I do with my *laptop* on the road will be accomplished far easier and faster with the §iphone$.,jbt,"iphone, laptop"
