,sentence,object_a,object_b,pred_if,pred_lex,gold,most_frequent_percentage,s_len
A107951124,@9:08 At no time has the softball stadium been superior to baseball.,softball,baseball,BETTER,BETTER,WORSE,0.8,68
A109112123,95% of the the things I do with my laptop on the road will be accomplished far easier and faster with the iphone.,laptop,iphone,BETTER,NONE,WORSE,1.0,113
A112691576,"A 5-2-1 california team went down, 27-7, then 5-1-1 oregon fell harder, 33-0.",california,oregon,NONE,NONE,BETTER,0.8333333333333334,77
A115588256,A better alternative is to substitute light gauge steel Zeds for the timber joists.,steel,timber,NONE,NONE,WORSE,0.8,83
A129263384,"According to The New York Times, Amazon has an employee stack-ranking system every bit as bad - if not considerably worse - than did Ballmer's Microsoft.",Amazon,Microsoft,BETTER,NONE,WORSE,1.0,153
A131151979,"Acer Travelmate 8372 and Aspire 3820, Dell Vostro V130, Samsung QX310 all have inferior displays; Sony Vaio S13 and Apple MacBook Air aren't as expensive; Sony Vaio...",Dell,Apple,NONE,NONE,WORSE,1.0,167
A132707689,"ACME, Mich. - General Motors Co., facing disappointing Chevrolet Volt sales, cut the starting price of the plug-in hybrid sedan by $5,000 to compete against the less- expensive and better-selling Toyota Prius and Nissan Leaf.",Chevrolet,Toyota,NONE,NONE,WORSE,0.8,225
A137884310,Actually for many Windows XP users it is easier to migrate to Linux Mint than to Windows 8.,Windows XP,Windows 8,BETTER,BETTER,NONE,0.4,91
A138611811,"Actually scratch my last post, I canceled the Nikon and ordered the Sigma 18-50 mm f2.8 HSM instead, as I think it should be the better lens.",Nikon,Sigma,NONE,NONE,WORSE,1.0,141
A138645732,"Actually, Sony can be even nastier than Microsoft when it comes to licensing games for their platform.",Sony,Microsoft,BETTER,BETTER,WORSE,1.0,102
A140050632,"@Adam Smith, any parsing toolchain will be ok - e.g., Antlr with a Java backend, or (much better) any functional language with ADTs (SML, OCaml, Haskell, ...).",Java,Haskell,NONE,NONE,WORSE,1.0,159
A147727649,Adidas is a German company - therein I understand Nike being American better already.,Adidas,Nike,NONE,BETTER,WORSE,0.6,85
A15287639,"(10 For NetBeans, -5 for Eclipse)",NetBeans,Eclipse,NONE,NONE,BETTER,0.8,33
A158005965,"After abandoning Ruby (until they calm down), I started exploring Perl and C/C++ with much better results.",Ruby,Perl,NONE,NONE,WORSE,1.0,106
A160099612,"After all, who would play the 'wii' when there were much cooler names like playstation 3 and Xbox 360?",wii,playstation,NONE,BETTER,WORSE,1.0,102
A40116035,1) Laptop or netbook with Bluetooth means that I don't have to plug anything into a USB port in order to use a decent mouse with the computer.,Bluetooth,USB,WORSE,NONE,BETTER,0.4,142
