id	sentence	a	b	without_marker
0	AMD claims that Mantle allows for nine times as many draw calls per second compared to other APIs, meaning that a game running on Mantle could, in theory, draw a frame nine times faster than one running on DirectX.	Mantle	A-Frame	False
1	We cannot shake the feeling that despite the fact that DirectX 12 will generally make your existing hardware faster, provided compatible games show up on time, so in essence Direct3D 12 really reminds us of Mantle.	Mantle	Direct3D	False
2	Mantle is performance only thing and if you negate the boost with emulation, wouldn't it be easier to just stay with Direct3D 11 then and remain at point zero?	Mantle	Direct3D	False
3	The point is the simplicity to port the game from console API to Mantle is probably about 1000% easier than porting to Direct3D, and there would be a lot less bugs on release.	Mantle	Direct3D	False
4	Mantle could be used instead of OpenGL for better performance for virtual machines, so it could make perfect sense in this scenario, or to better support Direct3D state trackers for Wine too like how that one patch used the D3D state tracker on open drivers.	Mantle	Direct3D	False
5	Like Mantle and Direct3D 12, OpenGL NG is expected to be a very thin API - after all, it doesn't need much code if it's just acting as a shim between the hardware and software developers - which means OpenGL NG will be much easier to implement and test.	Mantle	Direct3D	False
6	Mantle is an alternative to Direct3D and OpenGL and AMD claims it reduces CPU overhead, allows greater control of the graphics hardware, allows all hardware features to be exposed, supports new rendering techniques, can handle direct GPU memory access, and better performance all around.	Mantle	Direct3D	False
7	Mantle, Vulkan or DirectX application support is required.	Vulkan	Mantle	False
8	DirectX 12, Vulkan, and Mantle, on the other hand, treat work like commands on queues.	Vulkan	Mantle	False
9	Vulkan is an open graphics and compute standard that was derived from AMD's Mantle.	Vulkan	Mantle	False
10	[ 40 ] [ 41 ] [ 42 ] AMD offered its Mantle API without any conditions as the foundation of Vulkan.	Vulkan	Mantle	False
11	Other technical features include 256 texture units, 64 R0Ps, and support for Direct X 12, Vulkan and Mantle API.	Vulkan	Mantle	False
12	Mantle, Vulkan, and DirectX 12 all claim to reduce overhead and provide a staggering increase in "draw calls".	Vulkan	Mantle	False
13	The card is also intended to beef up AMD's midrange selection, offering support for DirectX 12, FreeSync, Virtual Super Resolution, and Vulkan and Mantle technology.	Vulkan	Mantle	False
14	Vulkan is obviously different than Mantle in significant ways now, such as its use of SPIR-V for its shading language (rather than HLSL).	Vulkan	Mantle	False
15	So in short, the Vulkan API was definitely started with Mantle and grew from there as more stakeholders added their opinion.	Vulkan	Mantle	False
16	GPUOpen from my Personal Perspective as a Developer There is a transformation happening in the PC space reaching critical mass, catalyzed by Mantle, continuing with two explicit APIs: DX12 and Vulkan.	Vulkan	Mantle	False
17	I also heard that for the next generation of graphics APIs (Vulkan, DX12, Mantle) are trying to deal with this sort of issue in order to get more performance for users.	Vulkan	Mantle	False
18	It might not turn the world on it's head day one, but I truly think that APIs like DX12 and Vulkan (what Mantle has become for Khronos) will alter gaming more than anyone previous thought."	Vulkan	Mantle	False
19	From the beginning, Valve claimed that it was possible to boost OpenGL performance over D3D in Windows, and it's recently put a hefty push behind Vulkan, the Mantle-based API that's a successor to OpenGL.	Vulkan	Mantle	False
20	In the way similar to AMD Mantle, Apple Metal and Vulkan (previously known as glNext), it follows a new trend of offering to PC graphics programmers a more fine-grained control over contemporary GPU hardware, with thinner driver and more responsibility on developer's side.	Vulkan	Mantle	False
21	Hello and welcome to our series of blog posts covering performance advice for Direct3D® 12 & Vulkan™.	Vulkan	Direct3D	False
22	Well, now we have Direct3D 12, Apple's Metal, and Vulkan on the way.	Vulkan	Direct3D	False
23	This is one of the major advantages of Direct3D 12 and Vulkan over previous APIs.	Vulkan	Direct3D	False
24	There are no hidden driver threads in Direct3D 12 and Vulkan that could interfere with you - all the threading performance comes directly from the application.	Vulkan	Direct3D	False
25	Microsoft got word about gl-next, and quickly followed with Direct3D 12. Another year passed, and the gl-next API was renamed to "Vulkan".	Vulkan	Direct3D	False
26	I am writing a simple Direct3D 12 application to prepare for the release of Vulkan, and it works as expected in all regards but one: running in a bordered window restricts the framerate to 60fps, even ...	Vulkan	Direct3D	False
27	3D APIs: OpenGL 4.3, Direct3D 11.2 and Mantle	Direct3D	Mantle	True
28	Switching out Direct3D for Mantle gets us another 3.6fps, or a 5% boost in performance.	Direct3D	Mantle	True
29	They need to write Mantle for PS4 & co, and they need GL or Direct3D for Windows.	Direct3D	Mantle	True
30	As the developers go on, the difference between traditional direct3D rendering and Mantle rendering became obvious.	Direct3D	Mantle	True
31	Mantle was created because AMD didn't want to wait for Direct3D 12.	Direct3D	Mantle	True
32	Metal seems to follow in the same vein as Direct3D 12 and AMD's Mantle .	Direct3D	Mantle	True
33	Frame rate jumped up to x3 when changed from Direct3D (DirectX) to (alpha) Mantle.	Direct3D	Mantle	True
34	So it won't be a big burden to have two game editions for Mantle and Direct3D.	Direct3D	Mantle	True
35	Does Mantle continue alongside Direct3D 12, an easy target for porting since the two APIs are (apparently) so similar?	Direct3D	Mantle	True
36	Meanwhile for bug fixes, the focus is primarily on Mantle bugs, though a few Direct3D/OpenGL bugs are also covered.	Direct3D	Mantle	True
37	Mantle was announced last year as a closer-to-hardware graphics API to complement OpenGL and Direct3D.	Direct3D	Mantle	True
38	The Road Glide and Road Glide Ultra Classic have a frame-mounted fairing, referred to as the "Sharknose".	Glide	A-Frame	False
39	2006 Other H-D Road Glide The FLTR Road Glide features a frame-mounted fairing that reduces weight on the fork as well as the handlebars and retains the distinctive style of a Harley-Davidson touring ... $24,900	Glide	A-Frame	False
40	For 2008, Harley-Davidson Touring family includes two Road King models that combine outstanding comfort with classic styling, the exciting Road Glide with a frame-mounted fairing, and four Electra Glide models with the traditional Harley-Davidson "batwing" fairing.	Glide	A-Frame	False
41	Glide was also easier to program for, compared to the clunkiness of Direct3D at the time	Glide	Direct3D	False
42	Original Glide-coded games with Direct3D and/or OpenGL support will still run better on a Voodoo.	Glide	Direct3D	False
43	By this I mean that the developers can port to Glide, and the framerates are 10-15% better than OpenGL or Direct3D.	Glide	Direct3D	False
44	Maybe the world would have been better if Glide had won out, but Direct3D was developed by Microsoft in concert with game developers and graphics manufacturers.	Glide	Direct3D	False
45	Much like OpenGLES or, for lack of a better example, GLIDE?I realize that "opengl-esque" is a broad term which possibly would include Direct3D, metal, and almost every 3D API in history.	Glide	Direct3D	False
46	files required  + high software compatibility - many titles which didn't run on eyeSCREAM now work  + works with OpenGL and Glide wrappers + best Direct3D support ever (much better than eyeSCREAM) + good stereo effects + best image quality ever + no black interlace-lines + highest resolutions ever - hungry for 1600x1200 per eye anyone?	Glide	Direct3D	False
47	--------------------------------------------------------------------- Part 2 Install Freespace 2 --------------------------------------------------------------------- 1. Minimum system requirements 200 Mhz Intel Pentium processor Windows 95/98 with DirectX 6.0 32MB of RAM (random access memory) 3D graphics accelerator (supports Direct3D and Glide) At least 450 MB free hard drive space 8x CD-ROM or faster DirectX compatible sound card Mouse and keyboard 2. Insallation Insert the Freespace 2 CD in the CD-ROM drive.	Glide	Direct3D	False
48	IGame - Checkers - Tic tac toe - ... IEngine - raw Direct3D - raw OGL - OGRE - Irrlicht - Unreal - Quake - ...	OGRE	Direct3D	False
49	I'm using a QGLWidget to render a 3D scene (using Ogre/Direct3D).	OGRE	Direct3D	False
50	I made my own Direct3D 9Ex plugin for Ogre as well, but I do get a big jump in performance!	OGRE	Direct3D	False
51	Currently OGRE runs on both Windows and Linux, using plugins to drive the underlying rendering API (currently Direct3D or OpenGL).	OGRE	Direct3D	False
52	OGRE is a open source 3D engine (or 3D rendering engine) and uses Direct3D 9 or OpenGL for graphics acceleration.	OGRE	Direct3D	False
53	See: Metal, Vulkan.	Metal	Vulkan	False
54	The new generation of APIs include Vulkan, D3D12 (or DX12) and Metal.	Metal	Vulkan	False
55	Anybody else think that Apple should ditch Metal in favour of Vulkan?	Metal	Vulkan	False
56	Their graphics stack is more likely to support Vulkan now that it supports Metal, not less.	Metal	Vulkan	False
57	No, Apple isn't bringing Metal to Android - but Google is adopting an alternative called Vulkan.	Metal	Vulkan	False
58	I suspect work on Metal began long before Vulkan materialised and got the support it has now.	Metal	Vulkan	False
59	In the middle is a "counts as" Vulkan, and the metal chap is Lemartes with his Blood Angel iconography filed off.	Metal	Vulkan	False
60	We are proud to announce GORGUTS and PSYCROPTIC for INFERNO METAL FESTIVAL 2016 - as they will be joining Exodus at our club day stage at Vulkan Arena.	Metal	Vulkan	False
61	Vulkan Arena is Oslo's new concert venue and with a capacity of 700 people it will be the main stage during Inferno Metal Festival's club day.	Metal	Vulkan	False
62	The Finecast Spacemarine rumor came up and I said I'll pick up Vulkan even though I had the metal one still unassembled.	Metal	Vulkan	False
63	Architecturally, a lot of the hard work that would have been required to support Vulkan has already been done to support Metal.	Metal	Vulkan	False
64	so, tl ; dr : it's pretty easy to see that they're in a far better position to support OpenGL/Vulkan now that they have Metal.	Metal	Vulkan	False
65	Think of how powerful it would be to be able to start with an OpenGL prototype, and then go to the metal with Vulkan wherever you want to optimize!	Metal	Vulkan	False
66	Drawer features solid wood knob and easy-glide metal runners.	Metal	Glide	True
67	Drawers feature solid wood knobs and easy-glide metal... more	Metal	Glide	True
68	Drawers with solid wood sides glide on metal runners.	Metal	Glide	True
69	Transitional style Center metal glide Solid wood & wood veneer See the Full Set: Furniture of ...	Metal	Glide	True
70	Crafted from solid pine, the drawers operate smoothly on easy glide metal... heart	Metal	Glide	True
71	Sturdy drawers with solid wood sides glide on metal runners with built-in safety stops	Metal	Glide	True
72	Each solid wood drawer is mounted on a rolling metal glide for easy opening and closing.	Metal	Glide	True
73	Sturdy solid wood construction with metal enclosed ball bearings for smoother glide motion.	Metal	Glide	True
