id,sentence,object_a,object_b,most_frequent_label,most_frequent_percentage,path
S3063012648,"Well, I don't have a real benchmark but Tim Sweeny(Unreal) is saying everywhere that Direct3D is faster than OpenGL on windows.",Direct3D,OpenGL,BETTER,1.0,X/PROPN/nsubj/> everywhere/ADV/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
B216705748,"Also, Motorola makes better phones than Samsung.",Motorola,Samsung,BETTER,1.0,X/PROPN/nsubj/> make/VERB/ROOT/^ phone/NOUN/dobj/< than/ADP/prep/< Y/PROPN/pobj/<
G1018532288,I am very skeptical that Swift is faster than Objective-C.,Swift,Objective-C,WORSE,0.5,X/PROPN/nsubj/> skeptical/ADJ/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
O2284066811,Specifications: - Solid 7mm thick plywood - Strong aluminium profiles - Heavy duty handles - steel ball corners - 4 wheels - Butterflylocks - Color: black,plywood,steel,NONE,1.0,X/PROPN/compound/> strong/PROPN/nmod/> profile/NOUN/compound/> handle/VERB/ROOT/^ Y/PROPN/compound/<
A152130641,"Aerobics, tennis & volleyball",tennis,volleyball,NONE,1.0,X/PROPN/conj/> aerobics/NOUN/ROOT/^ objecta/PROPN/conj/< Y/PROPN/conj/<
S2978266352,Upgrades are being made harder now that you have OEMs like Dell still selling Windows XP and making Windows Vista available as an upgrade option.,Windows XP,Windows Vista,NONE,1.0,X/PROPN/dobj/> like/ADP/ROOT/^ make/VERB/conj/< available/ADJ/ccomp/< Y/PROPN/nsubj/<
F736305181,"For a franchise that boasts the mantra, ""Eat better, feel better,"" and serves breakfast all day, watch out for items like classic breakfast sandwich made with sausage.",sandwich,sausage,NONE,1.0,X/PROPN/nsubj/> watch/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<
T3179001325,"Wi-Fi and Bluetooth support as standard, with a collapsable Gigabit Ethernet port providing faster wired access when you need it.",Bluetooth,Ethernet,NONE,0.6,X/PROPN/conj/> support/NOUN/ROOT/^ provide/VERB/pcomp/< port/NOUN/nsubj/< Y/PROPN/compound/<
T3179001325,"Wi-Fi and Bluetooth support as standard, with a collapsable Gigabit Ethernet port providing faster wired access when you need it.",Bluetooth,Ethernet,NONE,0.6,X/PROPN/conj/> support/NOUN/ROOT/^ provide/VERB/pcomp/< port/NOUN/nsubj/< gigabit/PROPN/compound/V Y/PROPN/compound/<
S3038689576,"We'd all be better off if the original manufacturer would take the equipment back, and a good number of them (Dell, Toshiba, Apple and others) do.",Dell,Apple,NONE,1.0,X/PROPN/nsubj/> take/VERB/ROOT/^ objecta/PROPN/nsubj/< toshiba/PROPN/conj/< Y/PROPN/conj/<
S3038689576,"We'd all be better off if the original manufacturer would take the equipment back, and a good number of them (Dell, Toshiba, Apple and others) do.",Dell,Apple,NONE,1.0,X/PROPN/nsubj/> take/VERB/ROOT/^ objecta/PROPN/nsubj/< toshiba/PROPN/conj/< Y/PROPN/conj/< and/CONJ/cc/V
S3038689576,"We'd all be better off if the original manufacturer would take the equipment back, and a good number of them (Dell, Toshiba, Apple and others) do.",Dell,Apple,NONE,1.0,X/PROPN/nsubj/> take/VERB/ROOT/^ objecta/PROPN/nsubj/< toshiba/PROPN/conj/< Y/PROPN/conj/< others/NOUN/conj/V
I1392685976,"I think the Toyota stopped fine, but the Nissan was definitely better.",Toyota,Nissan,WORSE,1.0,X/PROPN/nsubj/> think/VERB/ROOT/^ be/VERB/conj/< Y/PROPN/nsubj/<
I1392685976,"I think the Toyota stopped fine, but the Nissan was definitely better.",Toyota,Nissan,WORSE,1.0,the/DET/det/V X/PROPN/nsubj/> think/VERB/ROOT/^ be/VERB/conj/< Y/PROPN/nsubj/<
I1392685976,"I think the Toyota stopped fine, but the Nissan was definitely better.",Toyota,Nissan,WORSE,1.0,X/PROPN/nsubj/> think/VERB/ROOT/^ be/VERB/conj/< the/DET/det/V Y/PROPN/nsubj/<
D508851959,Complex directions (adapted from Google): 1. Turn left on PA-315 S toward Motorworld Dr 2. Turn right to merge onto PA-309 N - 2.7 mi 3. Take exit 4 toward US-11/Kingston/Forty Fort - 0.3 mi 4. Turn right onto Rutter Ave - 256 ft 5. Keep left at the fork - 92 ft 6. Continue onto Welles St - 0.4 mi 7. Turn right onto Wyoming Ave - Destination will be on the left - 2.1 mi,Google,Kingston,NONE,1.0,NOPATH
E635922556,Eclipse versus NetBeans versus Visual Studio .,Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/pobj/<
E635922556,Eclipse versus NetBeans versus Visual Studio .,Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^ versus/ADP/prep/V Y/PROPN/pobj/<
E635922556,Eclipse versus NetBeans versus Visual Studio .,Eclipse,NetBeans,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/pobj/< versus/ADP/prep/V
D522864518,cooler on plateau - golf and tennis resort This is a great getaway in the summer.,golf,tennis,NONE,1.0,X/PROPN/pobj/> cooler/NOUN/ROOT/^ objecta/PROPN/pobj/< Y/PROPN/conj/<
D522864518,cooler on plateau - golf and tennis resort This is a great getaway in the summer.,golf,tennis,NONE,1.0,plateau/NOUN/compound/V X/PROPN/pobj/> cooler/NOUN/ROOT/^ objecta/PROPN/pobj/< Y/PROPN/conj/<
D522864518,cooler on plateau - golf and tennis resort This is a great getaway in the summer.,golf,tennis,NONE,1.0,X/PROPN/pobj/> and/CONJ/cc/V cooler/NOUN/ROOT/^ objecta/PROPN/pobj/< Y/PROPN/conj/<
D524536323,"core 2 quad q9650, LGA775 mobo, 8gb ram, gtx 760, 3tb hdd, compatible wifi card, 2 compatible USB Bluetooth dongles, a cpu cooler for $799.98",USB,Bluetooth,NONE,1.0,X/PROPN/compound/> objectb/PROPN/compound/> card/NOUN/ROOT/^ Y/PROPN/compound/<
