_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,label:confidence,a,also_acceptable,b,expected_label,id,label_gold,marker,raw_text,text_html,text_readable
1576060874,false,finalized,3,2/5/2018 12:33:38,NONE,1.0,USB,,Bluetooth,,S3035247808,,True,"We can expect a decent rear camera, Wi-Fi, Bluetooth, micro-USB and a micro-SD card slot if we are to go by previous Galaxy models.","We can expect a decent rear camera, Wi-Fi, <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span>, micro-<span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> and a micro-SD card slot if we are to go by previous Galaxy models.","We can expect a decent rear camera, Wi-Fi, *Bluetooth*, micro-§USB$ and a micro-SD card slot if we are to go by previous Galaxy models."
1576060875,false,finalized,3,2/5/2018 12:30:26,NONE,0.6977,Java,,Scala,,S2962396197,,True,"Ultimately I decided on Scala as it provided an easier transition, was more mature, had greater community support, better interoperability with existing Java code, and a nicer syntax.","Ultimately I decided on <span style=""color: #9A14B2; font-weight: bold"">Scala:[OBJECT_A]</span> as it provided an easier transition, was more mature, had greater community support, better interoperability with existing <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> code, and a nicer syntax.","Ultimately I decided on *Scala* as it provided an easier transition, was more mature, had greater community support, better interoperability with existing §Java$ code, and a nicer syntax."
1576060876,false,finalized,3,2/5/2018 12:30:32,WORSE,1.0,Python,,Perl,,O2380385982,,True,"That's true for Perl too I guess, but I like Python better order of magnitudes myself","That's true for <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> too I guess, but I like <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> better order of magnitudes myself","That's true for *Perl* too I guess, but I like §Python$ better order of magnitudes myself"
1576060877,false,finalized,3,2/5/2018 12:31:17,NONE,1.0,Eclipse,,NetBeans,,J1562530213,,False,"JRuby, maybe Netbeans or Eclipse make sense.","JRuby, maybe <span style=""color: #9A14B2; font-weight: bold"">NetBeans:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Eclipse:[OBJECT_B]</span> make sense.","JRuby, maybe *NetBeans* or §Eclipse$ make sense."
1576060878,false,finalized,3,2/5/2018 12:28:28,NONE,1.0,Windows XP,,Windows 8,,K1635532569,,True,Linux really is now at a point where it is an easier OS to transition to from Windows XP and 7 vs transitioning to Windows 8.,"Linux really is now at a point where it is an easier OS to transition to from <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> and 7 vs transitioning to <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span>.",Linux really is now at a point where it is an easier OS to transition to from *Windows XP* and 7 vs transitioning to §Windows 8$.
1576060879,false,finalized,3,2/5/2018 12:30:33,NONE,1.0,Swift,,Objective-C,,E725456498,,False,First was the Swift programming language that looks like it will supplant Objective-C.,"First was the <span style=""color: #9A14B2; font-weight: bold"">Swift:[OBJECT_A]</span> programming language that looks like it will supplant <span style=""color: #6CB219; font-weight: bold"">Objective-C:[OBJECT_B]</span>.",First was the *Swift* programming language that looks like it will supplant §Objective-C$.
1576060880,false,finalized,3,2/5/2018 12:29:46,NONE,1.0,Ruby,,PHP,,I1272487352,,True,In my case- do you think a freelance marketplace platform be better off built under PHP or Ruby?,"In my case- do you think a freelance marketplace platform be better off built under <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>?",In my case- do you think a freelance marketplace platform be better off built under *PHP* or §Ruby$?
1576060881,false,finalized,3,2/5/2018 12:29:46,NONE,1.0,Ruby,,Python,,D492539996,,True,"Clojure performance is not terrific, but is orders of magnitude faster than Ruby, Python, or Javascript.","Clojure performance is not terrific, but is orders of magnitude faster than <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>, or Javascript.","Clojure performance is not terrific, but is orders of magnitude faster than *Ruby*, §Python$, or Javascript."
1576060882,false,finalized,3,2/5/2018 12:29:35,BETTER,1.0,Java,,Groovy,,L1918907342,,True,On the other hand Java is WAY WAY faster than groovy.,"On the other hand <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> is WAY WAY faster than <span style=""color: #6CB219; font-weight: bold"">Groovy:[OBJECT_B]</span>.",On the other hand *Java* is WAY WAY faster than §Groovy$.
1576060883,false,finalized,3,2/5/2018 12:31:15,BETTER,1.0,OpenGL,,Direct3D,,I1240489293,,True,"In a scary twist that reinforces Valve's distaste for Windows 8 , it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL than Windows 7 and DirectX/Direct3D.","In a scary twist that reinforces Valve's distaste for Windows 8 , it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and <span style=""color: #9A14B2; font-weight: bold"">OpenGL:[OBJECT_A]</span> than Windows 7 and DirectX/<span style=""color: #6CB219; font-weight: bold"">Direct3D:[OBJECT_B]</span>.","In a scary twist that reinforces Valve's distaste for Windows 8 , it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and *OpenGL* than Windows 7 and DirectX/§Direct3D$."
