,_golden,_last_judgment_at,_trusted_judgments,_unit_id,_unit_state,a,also_acceptable,b,expected_label,gold_label,id,label,label:confidence,label_gold,marker,raw_text,text_html,text_readable,type
102,False,1/12/2018 19:16:34,3,1543286612,finalized,fishing,,swimming,,N,A103008306,NONE,1.0,,False,7. swimming and fishing.,"7. <span style=""color: #9A14B2; font-weight: bold"">swimming:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">fishing:[OBJECT_B]</span>.",7. *swimming* and §fishing$.,jbt
67,False,1/11/2018 12:34:12,3,1534176897,finalized,MySQL,,PostgreSQL,O,,J1444391122,OTHER,0.6923,,True,It's definitely faster than using MySQL or PostgreSQL for what you want to do though... -  Aaron Aug 18 '11 at 18:56,"It's definitely faster than using <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> for what you want to do though... -  Aaron Aug 18 '11 at 18:56",It's definitely faster than using *MySQL* or §PostgreSQL$ for what you want to do though... -  Aaron Aug 18 '11 at 18:56,compsci
46,False,1/11/2018 12:31:31,4,1534176876,finalized,MySQL,,PostgreSQL,O,,J1468913329,OTHER,0.7546,,True,"It's tiny (about 300kB), it's simple (no messing about with starting servers), it's blazing fast (for some tasks, it's up to an order of magnitude faster than PostgreSQL or MySQL --- for others, it's slower, though: benchmarks [sqlite.org]).","It's tiny (about 300kB), it's simple (no messing about with starting servers), it's blazing fast (for some tasks, it's up to an order of magnitude faster than <span style=""color: #9A14B2; font-weight: bold"">PostgreSQL:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> --- for others, it's slower, though: benchmarks [sqlite.org]).","It's tiny (about 300kB), it's simple (no messing about with starting servers), it's blazing fast (for some tasks, it's up to an order of magnitude faster than *PostgreSQL* or §MySQL$ --- for others, it's slower, though: benchmarks [sqlite.org]).",compsci
114,False,1/11/2018 19:15:49,3,1534176945,finalized,Java,,Objective-C,N,,S3090626058,NONE,0.6617,,True,"We've been using HTML5 technologies extended by a PhoneGap/Cordova container, but are starting to look at more ""native"" app development - using Objective-C for iOS and Java for Android - for better performance, easier system integration, and better compatibility with older versions of Android out in the wild.","We've been using HTML5 technologies extended by a PhoneGap/Cordova container, but are starting to look at more ""native"" app development - using <span style=""color: #9A14B2; font-weight: bold"">Objective-C:[OBJECT_A]</span> for iOS and <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> for Android - for better performance, easier system integration, and better compatibility with older versions of Android out in the wild.","We've been using HTML5 technologies extended by a PhoneGap/Cordova container, but are starting to look at more ""native"" app development - using *Objective-C* for iOS and §Java$ for Android - for better performance, easier system integration, and better compatibility with older versions of Android out in the wild.",compsci
94,False,1/11/2018 12:36:53,3,1534176924,finalized,Eclipse,,NetBeans,N,,E635911781,NONE,1.0,,False,"Eclipse, NetBeans and Lobo (the Java browser).","<span style=""color: #9A14B2; font-weight: bold"">Eclipse:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">NetBeans:[OBJECT_B]</span> and Lobo (the Java browser).","*Eclipse*, §NetBeans$ and Lobo (the Java browser).",compsci
143,False,1/12/2018 15:17:39,4,1543286653,finalized,pizza,,pasta,,N,I1356359416,NONE,0.7392,,True,Is there anything better than pizza and pasta?,"Is there anything better than <span style=""color: #9A14B2; font-weight: bold"">pizza:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">pasta:[OBJECT_B]</span>?",Is there anything better than *pizza* and §pasta$?,jbt
115,False,1/11/2018 17:38:50,3,1534176946,finalized,Python,,Perl,N,,I1352826147,BETTER,0.6765,,True,":) Is Python ""better"" than Perl?",":) Is <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> ""better"" than <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>?",":) Is *Python* ""better"" than §Perl$?",compsci
424,False,1/11/2018 19:28:54,3,1534177260,finalized,Java,,Smalltalk,,,N2223379081,NONE,1.0,,False,Smalltalk and Java byte codes are just as object-oriented as the source that creates them.,"<span style=""color: #9A14B2; font-weight: bold"">Smalltalk:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> byte codes are just as object-oriented as the source that creates them.",*Smalltalk* and §Java$ byte codes are just as object-oriented as the source that creates them.,compsci
286,False,1/5/2018 17:15:36,3,1532714668,finalized,Google,,Kingston,,,P2536979672,NONE,1.0,,False,"The Kingston VIA rail station is about a 4-minute drive away from the hotel, Queen's University is an 8-minute drive, and the Wolf Island Ferry Terminal can be accessed in 12 minutes by car (driving distances - Google Maps).","The <span style=""color: #9A14B2; font-weight: bold"">Kingston:[OBJECT_A]</span> VIA rail station is about a 4-minute drive away from the hotel, Queen's University is an 8-minute drive, and the Wolf Island Ferry Terminal can be accessed in 12 minutes by car (driving distances - <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> Maps).","The *Kingston* VIA rail station is about a 4-minute drive away from the hotel, Queen's University is an 8-minute drive, and the Wolf Island Ferry Terminal can be accessed in 12 minutes by car (driving distances - §Google$ Maps).",brands
124,False,1/12/2018 14:59:27,3,1543286634,finalized,concrete,,timber,,N,T3190481702,NONE,1.0,,False,with combinations such as concrete and timber.,"with combinations such as <span style=""color: #9A14B2; font-weight: bold"">concrete:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">timber:[OBJECT_B]</span>.",with combinations such as *concrete* and §timber$.,jbt
104,False,1/5/2018 17:11:00,4,1532714483,finalized,Apple,,Amazon,B,,C384100440,BETTER,0.7526,,True,"As unlikely as it sounds, Amazon is pushing far harder than Microsoft or Apple to get its technology into the hands of other companies.","As unlikely as it sounds, <span style=""color: #9A14B2; font-weight: bold"">Amazon:[OBJECT_A]</span> is pushing far harder than Microsoft or <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> to get its technology into the hands of other companies.","As unlikely as it sounds, *Amazon* is pushing far harder than Microsoft or §Apple$ to get its technology into the hands of other companies.",brands
381,False,1/12/2018 17:19:32,3,1543286892,finalized,soup,,pizza,,,A157426268,OTHER,0.6849,,True,A frozen pizza or canned soup would have been faster and easier to prepare.,"A frozen <span style=""color: #9A14B2; font-weight: bold"">pizza:[OBJECT_A]</span> or canned <span style=""color: #6CB219; font-weight: bold"">soup:[OBJECT_B]</span> would have been faster and easier to prepare.",A frozen *pizza* or canned §soup$ would have been faster and easier to prepare.,jbt
164,False,1/11/2018 17:42:16,3,1534176995,finalized,Oracle,,MySQL,N,,O2288684021,NONE,0.6434,,False,- SQL (MySQL und/oder Oracle),"- SQL (<span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> und/oder <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span>)",- SQL (*MySQL* und/oder §Oracle$),compsci
