id,caption,sentence,object_a,object_b,predicted,gold
S2994287920,full_paths_original_4_aip,Valve recently found that the OpenGL version of the Source Engine running on Ubuntu ran significantly faster than the Direct3D version running on Windows.,OpenGL,Direct3D,NONE,BETTER
P2508158685,full_paths_original_4_aip,"The graphical DB control clients available for PostgreSQL are significantly better than those available for Oracle (Toad), which cost $1K.",PostgreSQL,Oracle,NONE,BETTER
Q2627775173,full_paths_original_4_aip,"The psp sells very well in Japan, in america sometimes the ps2 sells better.",psp,ps2,NONE,WORSE
O2425026854,full_paths_original_4_aip,The Buick is a far better driver but doesn't have the wretched excess appeal of the Cadillac.,Buick,Cadillac,BETTER,NONE
K1713860315,full_paths_original_4_aip,Microsoft (perhaps even worse than IBM) thinks that,Microsoft,IBM,NONE,WORSE
L1761931867,full_paths_original_4_aip,My compelling use case for MI in Python is... better to model MI in Java,Python,Java,NONE,BETTER
D532684434,full_paths_original_4_aip,"Crapware, huh? google + is vastly superior to facebook?",google,facebook,NONE,BETTER
E563964025,full_paths_original_4_aip,"Dell, at that historical point in the game at least, was probably better at running a supply chain and manufacturing than Apple.",Dell,Apple,NONE,BETTER
C354912866,full_paths_original_4_aip,"As far as cleaner appearance... It's easier and safer to paint plastic electronic parts than wood, and MUCH easier to get a nice, shiny metallic appearance on it.",plastic,wood,NONE,BETTER
D402677286,full_paths_original_4_aip,But my biggest worry is that the tech press will continue to do what they always do and ignore a superior product from Microsoft and flog an inferior offering because it's from Google.,Microsoft,Google,NONE,BETTER
P2469175342,full_paths_original_4_aip,The ds Lite was a better system the the wii with better games.,ds,wii,NONE,BETTER
T3235149297,full_paths_original_4_aip,You are going to have a much easier time implementing it with an MVC Perl app than with PHP.,Perl,PHP,NONE,BETTER
L1806086517,full_paths_original_4_aip,"Nissan Motor , which restored production faster than Toyota and Honda after the March earthquake in Japan, saw a sales gain of 25 percent.",Nissan,Toyota,NONE,BETTER
B291751549,full_paths_original_4_aip,"And Windows 7 works very well compared to Windows XP (which worked a lot better than Windows 98, but I digress).",Windows XP,Windows 98,NONE,BETTER
Q2633819574,full_paths_original_4_aip,"The real question is: for any given programming concept, is there anything about Ruby syntax that makes it harder to learn or implement than the equivalent in PHP?",Ruby,PHP,NONE,WORSE
A35801407,full_paths_original_4_aip,"1994 October: IBM released OS/2 version 3.0, an operating system far superior to anything Microsoft had, or would have for years.",IBM,Microsoft,NONE,BETTER
Q2720847784,full_paths_original_4_aip,The standard Adidas jerseys are much nicer than those by Nike.,Adidas,Nike,NONE,BETTER
Q2665869520,full_paths_original_4_aip,"There's another damaging situation: You can complain about itunes and subscription sites being damaging to copyright owners and having inferior audio quality, but one of the worst culprits is youtube.",itunes,youtube,NONE,BETTER
I1291586391,full_paths_original_4_aip,"Instead of pizza, it'll be easier to choose a salad or healthy sandwich .",pizza,sandwich,NONE,WORSE
D512965587,full_paths_original_4_aip,Congratulations to Apple; you continue to prove you are worse than Microsoft ever was.,Apple,Microsoft,NONE,WORSE
K1676019430,full_paths_original_4_aip,"Many people think Ruby is Python with lax whitespace, or PHP with better OO.",Ruby,Python,BETTER,NONE
L1813294597,full_paths_original_4_aip,"Nokia CBD is better than this overrated, defective Super Amoled by Samsung.",Nokia,Samsung,NONE,BETTER
T3168747862,full_paths_original_4_aip,WHITE PAPER: Many IT professionals generally recognize that PostgreSQL is better suited for enterprise database responsibilities than MySQL.,PostgreSQL,MySQL,NONE,BETTER
L1842619513,full_paths_original_4_aip,No way is Python or TCL faster than Java.,Python,Java,NONE,WORSE
F802055652,full_paths_original_4_aip,"Generally Toyota appears to build well solid if boring cars, but this is a Ford class failure, e.g.",Toyota,Ford,NONE,BETTER
L1899809032,full_paths_original_4_aip,One of the major complaints about Windows Vista was the fact that it was consistently slower than Windows XP .,Windows Vista,Windows XP,NONE,WORSE
L1919186869,full_paths_original_4_aip,On the other hand the expect productivity gain for a programmer is 5-10x faster in Python than Java.,Python,Java,NONE,BETTER
P2549626509,full_paths_original_4_aip,The low-volume Ford Focus Electric is a more conventional looking (and better handling) alternative to the Nissan Leaf.,Ford,Nissan,NONE,BETTER
S3090092782,full_paths_original_4_aip,We've all seen these benchmarks where Python is 10 or even 100 times slower than Java or C#.,Python,Java,NONE,WORSE
B268721327,full_paths_original_4_aip,And note that AWK probably is faster than Sed .,AWK,Sed,NONE,BETTER
H1203579210,full_paths_original_4_aip,"IMHO Lisp is way too heavy on the parenthesis, a Java program is easier to read.",Lisp,Java,NONE,WORSE
L1892507093,full_paths_original_4_aip,"One can argue that Toyota comes up with better names than, say BMW - ""Avalon"", ""Tacoma"", ""Corrolla"" sound better than ""3.25"" or ""5.25"".",Toyota,BMW,NONE,BETTER
O2322501291,full_paths_original_4_aip,"Sun is positioning its Linux products against Red Hat, Inc. and Dell Computer Corp. in the Intel server market, and suggesting how they offer a better strategy than the enterprise offerings from IBM and HP.",Dell,IBM,NONE,BETTER
M2053448301,full_paths_original_4_aip,"Putting all that aside, though, I think it's fair to say that during the last several years, Direct3D has been objectively superior to OpenGL for Windows graphics programming, for the following reasons:",Direct3D,OpenGL,NONE,BETTER
