id,assigned_class,assigned_class:confidence,label,new_sentence,sentence,_golden,_unit_state,_trusted_judgments,_last_judgment_at
1445637774,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, too) undoubtedly influenced people's votes when it","OBJECT_A, and OBJECT_B, too) undoubtedly influenced people's votes when it",false,finalized,3,11/10/2017 13:41:19
1445637775,NO_COMP,1,NO_COMP,"I'd go with <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.",I'd go with OBJECT_A or OBJECT_B.,false,finalized,4,11/10/2017 13:43:53
1445637776,NO_COMP,1,NO_COMP,"This is potentially useful for <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, PHP, JS and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.","This is potentially useful for OBJECT_A, PHP, JS and OBJECT_B.",false,finalized,3,11/10/2017 13:45:29
1445637777,NO_COMP,0.6562,NO_COMP,"And your other server languages like <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, PHP, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, etc.","And your other server languages like OBJECT_A, PHP, OBJECT_B, etc.",false,finalized,3,11/10/2017 13:44:29
1445637778,NO_COMP,0.6916,NO_COMP,"Java learned a lot from <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> and even C#.","Java learned a lot from OBJECT_A, OBJECT_B and even C#.",false,finalized,3,11/10/2017 13:42:11
1445637779,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>/Groovy/Perl is:",OBJECT_A/OBJECT_B/Groovy/Perl is:,false,finalized,3,11/10/2017 13:44:25
1445637780,NO_COMP,1,NO_COMP,"Java, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, Perl, also all work.","Java, OBJECT_A, OBJECT_B, Perl, also all work.",false,finalized,3,11/10/2017 13:42:48
1445637781,NO_COMP,1,NO_COMP,"highlighting mzscheme, perl, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> by default.","highlighting mzscheme, perl, OBJECT_A, and OBJECT_B by default.",false,finalized,3,11/10/2017 13:43:47
1445637782,NO_COMP,1,NO_COMP,"Highly skilled in Perl, PHP, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> programming languages.","Highly skilled in Perl, PHP, OBJECT_A, OBJECT_B programming languages.",false,finalized,4,11/10/2017 13:46:52
1445637783,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, java, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, php, javascript","OBJECT_A, java, OBJECT_B, php, javascript",false,finalized,3,11/10/2017 13:44:29
1445637784,NO_COMP,1,NO_COMP,"So it comes down to <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>.",So it comes down to OBJECT_A and OBJECT_B.,false,finalized,3,11/10/2017 13:44:52
1445637785,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> Compiled languages - e.g.","OBJECT_A, OBJECT_B Compiled languages - e.g.",false,finalized,3,11/10/2017 13:42:54
1445637786,NO_COMP,1,NO_COMP,"However, there is <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> Rails to consider.","However, there is OBJECT_A and OBJECT_B Rails to consider.",false,finalized,4,11/10/2017 13:44:13
1445637787,NO_COMP,1,NO_COMP,"Perl, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, and Unix shell scripts are also used.","Perl, OBJECT_A, OBJECT_B, and Unix shell scripts are also used.",false,finalized,3,11/10/2017 13:38:40
1445637788,NO_COMP,1,NO_COMP,"Possibly <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.",Possibly OBJECT_A or OBJECT_B.,false,finalized,3,11/10/2017 13:46:53
1445637789,NO_COMP,1,NO_COMP,"Groovy, Perl, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, Bash).","Groovy, Perl, OBJECT_A, OBJECT_B, Bash).",false,finalized,3,11/10/2017 13:44:52
1445637790,NO_COMP,0.7334,NO_COMP,"Speed: similar to Perl, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.","Speed: similar to Perl, OBJECT_A, OBJECT_B.",false,finalized,4,11/10/2017 13:46:52
1445637791,NO_COMP,1,NO_COMP,"Drop it immediately and start learning PHP, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, or <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.","Drop it immediately and start learning PHP, OBJECT_A, or OBJECT_B.",false,finalized,4,11/10/2017 13:43:53
1445637792,NO_COMP,1,NO_COMP,"language such as JavaScript, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, Groovy, etc.).","language such as JavaScript, OBJECT_A, OBJECT_B, Groovy, etc.).",false,finalized,3,11/10/2017 13:43:47
1445637793,NO_COMP,1,NO_COMP,"PHP, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, or <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>?","PHP, OBJECT_A, or OBJECT_B?",false,finalized,3,11/10/2017 13:42:14
1445637794,BETTER,1,BETTER,"I prefer <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> over <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> on windows.",I prefer OBJECT_A over OBJECT_B on windows.,false,finalized,3,11/10/2017 13:40:16
1445637795,NO_COMP,1,NO_COMP,"Perl, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, PHP, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>), forking isn't a problem.","Perl, OBJECT_A, PHP, OBJECT_B), forking isn't a problem.",false,finalized,3,11/10/2017 13:36:57
