id,sentence,object_a,object_b,most_frequent_label,most_frequent_percentage,path
K1714611024,"Midsize cars: Although the Nissan Altima has attracted some praise for its restyling and new features, Consumer Reports says the Honda Accord and Ford Fusion are better values.",Honda,Ford,NONE,1.0,X/PROPN/compound/> accord/PROPN/ROOT/^ Y/PROPN/conj/<
L1791485105,NetBeans vs. Eclipse vs. Idea.,NetBeans,Eclipse,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/pobj/<
L1791485105,NetBeans vs. Eclipse vs. Idea.,NetBeans,Eclipse,NONE,1.0,X/PROPN/ROOT/^ vs./ADP/prep/V Y/PROPN/pobj/<
K1712964495,"michigan is better, Chicago, Ohio, California, the non-Connecticut New England states, Canada - all much better than North carolina.",michigan,carolina,BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
K1712964495,"michigan is better, Chicago, Ohio, California, the non-Connecticut New England states, Canada - all much better than North carolina.",michigan,carolina,BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/< north/PROPN/compound/V Y/PROPN/pobj/<
O2288672485,"SQL is easier to read, maintain and debug than Java, Groovy or Jython code.",Java,Groovy,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
M2045751496,"Prove that Java is ""faster"" than PHP in the general sense.",Java,PHP,BETTER,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
T3179151520,"wii, and even more so, gamecube (apart from the purple colour) were much better looking.",wii,gamecube,NONE,0.8,X/PROPN/ROOT/^ Y/PROPN/conj/<
T3179151520,"wii, and even more so, gamecube (apart from the purple colour) were much better looking.",wii,gamecube,NONE,0.8,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
M2012558937,"Plus, unlike hockey or, worse, soccer, football and baseball allow for a lot of downtime.",hockey,football,WORSE,0.6,X/PROPN/ROOT/^ Y/PROPN/appos/<
M2012558937,"Plus, unlike hockey or, worse, soccer, football and baseball allow for a lot of downtime.",hockey,football,WORSE,0.6,X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/appos/<
M2012558937,"Plus, unlike hockey or, worse, soccer, football and baseball allow for a lot of downtime.",hockey,football,WORSE,0.6,X/PROPN/ROOT/^ bad/ADJ/conj/V Y/PROPN/appos/<
L1811806186,"No GM, no Ford, no Chrysler.",Ford,Chrysler,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/appos/<
L1811806186,"No GM, no Ford, no Chrysler.",Ford,Chrysler,NONE,1.0,X/PROPN/ROOT/^ no/DET/det/V Y/PROPN/appos/<
H1073951047,if Harder Hall golf-tennis Camp Completely Air Cond.,golf,tennis,NONE,1.0,X/PROPN/compound/> Y/PROPN/ROOT/^
