,_golden,_last_judgment_at,_trusted_judgments,_unit_id,_unit_state,a,also_acceptable,b,expected_label,gold_label,id,label,label:confidence,label_gold,label_gold_reason,marker,orig__golden,raw_text,text_html,text_readable,type,better_count,worse_count,none_count,judgements,label_winner_count,most_frequent_class,most_frequent_count,ratio
532,False,1/27/2018 19:04:13,3,1534177369,finalized,Java,,Smalltalk,,,N2223380966,NONE,0.7113,,,False,,"Smalltalk, Java and C++ are examples of OOP languages.","<span style=""color: #9A14B2; font-weight: bold"">Smalltalk:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> and C++ are examples of OOP languages.","*Smalltalk*, §Java$ and C++ are examples of OOP languages.",compsci,0,0,3,3,0,NONE,3.0,1.0
518,False,1/28/2018 09:39:38,3,1532714903,finalized,Nikon,,Leica,,,J1465041176,NONE,0.6932,,,True,,"It's solid and well-made, but not as precise or as fine as a Leica, or even as nice as the less-useful Nikon rangefinders of the 1950s.","It's solid and well-made, but not as precise or as fine as a <span style=""color: #9A14B2; font-weight: bold"">Leica:[OBJECT_A]</span>, or even as nice as the less-useful <span style=""color: #6CB219; font-weight: bold"">Nikon:[OBJECT_B]</span> rangefinders of the 1950s.","It's solid and well-made, but not as precise or as fine as a *Leica*, or even as nice as the less-useful §Nikon$ rangefinders of the 1950s.",brands,1,0,3,4,0,NONE,3.0,0.75
1527,False,2/15/2018 11:32:39,3,1576123488,finalized,concrete,,cement,,,Q2632224361,NONE,1.0,,,True,,The rate of hardening is slower than the normal Portland cement concrete.,"The rate of hardening is slower than the normal Portland <span style=""color: #9A14B2; font-weight: bold"">cement:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">concrete:[OBJECT_B]</span>.",The rate of hardening is slower than the normal Portland *cement* §concrete$.,jbt,0,0,3,3,0,NONE,3.0,1.0
384,False,2/5/2018 14:56:01,3,1576121874,finalized,harvard,,cornell,,,F849870782,BETTER,1.0,,,True,,"harvard Head Coach Tim Murphy on the team's win versus cornell and the upcoming game versus Lehigh Overall, our win was a very solid effort.","<span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> Head Coach Tim Murphy on the team's win versus <span style=""color: #6CB219; font-weight: bold"">cornell:[OBJECT_B]</span> and the upcoming game versus Lehigh Overall, our win was a very solid effort.","*harvard* Head Coach Tim Murphy on the team's win versus §cornell$ and the upcoming game versus Lehigh Overall, our win was a very solid effort.",jbt,3,0,0,3,0,BETTER,3.0,1.0
339,False,2/3/2018 10:36:48,3,1572198253,finalized,Nike,,Adidas,,,G931595105,NONE,0.7076,,,True,,"'He wasn't selling shoes as well as Adidas had hoped, and Nike thought it had better ideas to market him,'' said Paul Swangard, managing director of the Warsaw Sports Marketing Center at the University of Oregon.","'He wasn't selling shoes as well as <span style=""color: #9A14B2; font-weight: bold"">Adidas:[OBJECT_A]</span> had hoped, and <span style=""color: #6CB219; font-weight: bold"">Nike:[OBJECT_B]</span> thought it had better ideas to market him,'' said Paul Swangard, managing director of the Warsaw Sports Marketing Center at the University of Oregon.","'He wasn't selling shoes as well as *Adidas* had hoped, and §Nike$ thought it had better ideas to market him,'' said Paul Swangard, managing director of the Warsaw Sports Marketing Center at the University of Oregon.",brands,1,0,4,5,0,NONE,4.0,0.8
547,False,2/5/2018 16:40:57,3,1576122041,finalized,wii,,gamecube,,,T3179151520,NONE,0.6774,,,True,,"wii, and even more so, gamecube (apart from the purple colour) were much better looking.","<span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span>, and even more so, <span style=""color: #6CB219; font-weight: bold"">gamecube:[OBJECT_B]</span> (apart from the purple colour) were much better looking.","*wii*, and even more so, §gamecube$ (apart from the purple colour) were much better looking.",jbt,0,1,2,3,0,NONE,2.0,0.6666666666666666
91,False,1/5/2018 14:22:38,4,1530057617,finalized,Samsung,,Toshiba,N,,E718148199,NONE,0.711,,,True,,Findings by AnandTech from earlier this morning also suggest that Apple has moved away from Toshiba to Samsung as the provider for solid-state storage in its MacBook Air notebooks.,"Findings by AnandTech from earlier this morning also suggest that Apple has moved away from <span style=""color: #9A14B2; font-weight: bold"">Toshiba:[OBJECT_A]</span> to <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> as the provider for solid-state storage in its MacBook Air notebooks.",Findings by AnandTech from earlier this morning also suggest that Apple has moved away from *Toshiba* to §Samsung$ as the provider for solid-state storage in its MacBook Air notebooks.,brands,0,0,4,4,0,NONE,4.0,1.0
477,False,2/5/2018 18:14:07,3,1576061357,finalized,Java,,Scala,,,N2137831425,BETTER,1.0,,,True,,Scala and Cloture allow developers to write code that is more functional and often faster than Java when running on the same JVM.,"<span style=""color: #9A14B2; font-weight: bold"">Scala:[OBJECT_A]</span> and Cloture allow developers to write code that is more functional and often faster than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> when running on the same JVM.",*Scala* and Cloture allow developers to write code that is more functional and often faster than §Java$ when running on the same JVM.,compsci,3,0,0,3,0,BETTER,3.0,1.0
495,False,2/5/2018 15:53:18,3,1576061375,finalized,Java,,Smalltalk,,,I1327658916,NONE,0.6756,,,False,,"IOW, there's no fun in Java (unlike something more playful like Smalltalk).","IOW, there's no fun in <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> (unlike something more playful like <span style=""color: #6CB219; font-weight: bold"">Smalltalk:[OBJECT_B]</span>).","IOW, there's no fun in *Java* (unlike something more playful like §Smalltalk$).",compsci,0,1,2,3,0,NONE,2.0,0.6666666666666666
734,False,2/3/2018 13:16:55,3,1572198665,finalized,Honda,,Nissan,,,A164308739,NONE,1.0,,,False,,"After Honda, I went to Nissan showroom.","After <span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span>, I went to <span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> showroom.","After *Honda*, I went to §Nissan$ showroom.",brands,0,0,5,5,0,NONE,5.0,1.0
