id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
L1777175741,compsci,Oracle,MySQL,"MySQL , Oracle, PostgreSQL,",1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> , <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span>, PostgreSQL,",5,1.0,1.0
D412125686,brands,Intel,Dell,"But the dual-core Intel Core i3-2100 processor in the Dell Inspiron i620-228NBK managed much faster times: 1:42 in Handbrake, 3:55 in CS5.",1.0,1.0,0,0,6,NONE,6,4,2,"But the dual-core <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span> Core i3-2100 processor in the <span style=""color: #6CB219; font-weight: bold"">Dell:[OBJECT_B]</span> Inspiron i620-228NBK managed much faster times: 1:42 in Handbrake, 3:55 in CS5.",6,1.0,1.0
G935195239,brands,Intel,Hewlett-Packard,"Hewlett-Packard, Intel, other tech giants rushing to embrace software",1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Hewlett-Packard:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span>, other tech giants rushing to embrace software",5,1.0,1.0
J1545119870,compsci,Perl,JavaScript,"JavaScript reminds me of Perl 4 with a slightly better syntax and a couple of additional features (basic lexical scoping, higher order functions, and method dispatch, not to mention competing implementations with a lot of effort spent on optimizing away efficiencies inherent in some of the poorest misfeatures of the language's design).",1.0,1.0,3,0,2,BETTER,3,3,2,"<span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span> reminds me of <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> 4 with a slightly better syntax and a couple of additional features (basic lexical scoping, higher order functions, and method dispatch, not to mention competing implementations with a lot of effort spent on optimizing away efficiencies inherent in some of the poorest misfeatures of the language's design).",5,1.0,0.6
F824621386,brands,Apple,Google,Google Maps works better than Apple Maps in my area .,1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> Maps works better than <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> Maps in my area .",5,1.0,1.0
P2560048067,compsci,USB,Bluetooth,"The micro-USB adapter plugs into your smartphone, enabling faster-than-Bluetooth data speeds over a distance of a few centimeters.",0.6767,0.5,3,0,2,BETTER,3,3,2,"The micro-<span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> adapter plugs into your smartphone, enabling faster-than-<span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> data speeds over a distance of a few centimeters.",5,0.60602,0.6
A51202488,jbt,rifle,pistol,.223 rifle is better than pistol!,1.0,1.0,5,0,0,BETTER,5,3,2,".223 <span style=""color: #9A14B2; font-weight: bold"">rifle:[OBJECT_A]</span> is better than <span style=""color: #6CB219; font-weight: bold"">pistol:[OBJECT_B]</span>!",5,1.0,1.0
B184314688,compsci,Ruby,JavaScript,AJAX would be a 100 times better if could dump JavaScript and use Ruby instead as the flagship client-side scripting language.,0.662,0.5361,0,2,3,NONE,3,3,2,"AJAX would be a 100 times better if could dump <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span> and use <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> instead as the flagship client-side scripting language.",5,0.61164,0.6
S3086569932,jbt,virginia,michigan,"West virginia and michigan have never met on the basketball court, so what better place to start than...Brooklyn?",1.0,1.0,0,0,5,NONE,5,3,2,"West <span style=""color: #9A14B2; font-weight: bold"">virginia:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">michigan:[OBJECT_B]</span> have never met on the basketball court, so what better place to start than...Brooklyn?",5,1.0,1.0
Q2665354637,jbt,bread,steak,"there's also better steak, creme brulee, and table bread/butter.",0.6729,1.0,0,0,5,NONE,5,3,2,"there's also better <span style=""color: #9A14B2; font-weight: bold"">steak:[OBJECT_A]</span>, creme brulee, and table <span style=""color: #6CB219; font-weight: bold"">bread:[OBJECT_B]</span>/butter.",5,0.8037400000000001,1.0
