_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,label,a,also_acceptable,b,expected_label,id,label_gold,marker,raw_text,text_html,text_readable
1534176830,1/11/2018 12:31:37,false,3250531991,,1/11/2018 12:30:47,false,clixsense,0.8462,31523885,IND,07,Delhi,59.177.77.107,BETTER,Ruby,,PHP,W,G1031319964,,TRUE,I can't imagine that PHP is faster than Ruby (the language; I'm not talking about Rails).,"I can't imagine that <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is faster than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> (the language; I'm not talking about Rails).",I can't imagine that *PHP* is faster than §Ruby$ (the language; I'm not talking about Rails).
1534176830,1/11/2018 12:31:45,false,3250532374,,1/11/2018 12:30:40,false,neodev,0.7,43620003,VEN,18,Acarigua,186.95.162.10,WORSE,Ruby,,PHP,W,G1031319964,,TRUE,I can't imagine that PHP is faster than Ruby (the language; I'm not talking about Rails).,"I can't imagine that <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is faster than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> (the language; I'm not talking about Rails).",I can't imagine that *PHP* is faster than §Ruby$ (the language; I'm not talking about Rails).
1534176830,1/11/2018 13:03:12,false,3250627149,,1/11/2018 13:00:45,false,clixsense,0.9,42392800,SRB,00,Belgrade,93.86.237.18,BETTER,Ruby,,PHP,W,G1031319964,,TRUE,I can't imagine that PHP is faster than Ruby (the language; I'm not talking about Rails).,"I can't imagine that <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is faster than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> (the language; I'm not talking about Rails).",I can't imagine that *PHP* is faster than §Ruby$ (the language; I'm not talking about Rails).
1534176831,1/11/2018 12:32:59,false,3250535804,,1/11/2018 12:31:39,false,clixsense,0.8462,31523885,IND,07,Delhi,59.177.77.107,WORSE,Windows XP,,Windows Vista,W,L1828119025,,TRUE,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span>, I had dutifully remained on <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with *Windows Vista*, I had dutifully remained on §Windows XP$, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles."
1534176831,1/11/2018 12:33:28,false,3250537012,,1/11/2018 12:31:46,false,neodev,0.7,43620003,VEN,18,Acarigua,186.95.162.10,WORSE,Windows XP,,Windows Vista,W,L1828119025,,TRUE,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span>, I had dutifully remained on <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with *Windows Vista*, I had dutifully remained on §Windows XP$, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles."
1534176831,1/11/2018 13:06:49,false,3250638682,,1/11/2018 13:01:59,false,neodev,0.875,43938402,EGY,11,Cairo,196.131.0.135,OTHER,Windows XP,,Windows Vista,W,L1828119025,,TRUE,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span>, I had dutifully remained on <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with *Windows Vista*, I had dutifully remained on §Windows XP$, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles."
1534176832,1/11/2018 12:35:36,false,3250542608,,1/11/2018 12:34:46,false,clixsense,0.7941,39474673,UKR,"","",78.154.176.48,NONE,PHP,,Perl,W,M1996510083,,TRUE,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.","<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> community; TMTOWTDI.","*PHP* would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the §Perl$ community; TMTOWTDI."
1534176832,1/11/2018 12:35:40,false,3250542746,,1/11/2018 12:34:46,false,clixsense,0.8,18397774,MAR,46,Fes,105.158.38.86,NONE,PHP,,Perl,W,M1996510083,,TRUE,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.","<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> community; TMTOWTDI.","*PHP* would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the §Perl$ community; TMTOWTDI."
1534176832,1/11/2018 12:36:51,false,3250546134,,1/11/2018 12:34:42,false,neodev,0.8462,37665981,VEN,23,Maracaibo,190.79.49.202,WORSE,PHP,,Perl,W,M1996510083,,TRUE,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.","<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> community; TMTOWTDI.","*PHP* would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the §Perl$ community; TMTOWTDI."
1534176833,1/11/2018 12:31:37,false,3250531993,,1/11/2018 12:30:47,false,clixsense,0.8462,31523885,IND,07,Delhi,59.177.77.107,WORSE,USB,,Bluetooth,W,L1868520095,,TRUE,"Of course you also have the option of the USB, but personally I liked the Bluetooth better.","Of course you also have the option of the <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span>, but personally I liked the <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> better.","Of course you also have the option of the *USB*, but personally I liked the §Bluetooth$ better."
