id,caption,sentence,object_a,object_b,predicted,gold
2039,full_paths_original_4_aip,"Prove that Java is ""faster"" than PHP in the general sense.",Java,PHP,NONE,ARG
1619,full_paths_original_4_aip,"Plus, unlike hockey or, worse, soccer, football and baseball allow for a lot of downtime.",hockey,football,NONE,ARG
1770,full_paths_original_4_aip,"I haven't tried it with this modem, but on my ADSL line the superior performance of Ethernet over USB modems is striking, particularly in terms of responsiveness.",Ethernet,USB,NONE,ARG
134,full_paths_original_4_aip,From (1) and (2) follows this question: Is it possible at all to write a web framework in Ruby that's faster than PHP?,Ruby,PHP,NONE,ARG
830,full_paths_original_4_aip,"Even without the heavy functional stuff, just as a basic OO language, Scala is far better than C++/Java/C#.",Scala,Java,NONE,ARG
1618,full_paths_original_4_aip,"The sausage is decent too, three kinds sold by the sandwich ($7.50) or by the pound ($15.75).",sausage,sandwich,ARG,NONE
1907,full_paths_original_4_aip,"youtube just won't cut it for a screencast, so I found hosting the video myself (amazon S3), was a better solution.",youtube,amazon,NONE,ARG
504,full_paths_original_4_aip,Java apps on Mac are slower and bulkier than their native Objective-C counterparts.,Java,Objective-C,NONE,ARG
13,full_paths_original_4_aip,"As good as michigan has been defensively this season, virginia has been even better.",michigan,virginia,NONE,ARG
2364,full_paths_original_4_aip,"Hi, I use PHP validation for my sites it is better then Java script validation ?",PHP,Java,NONE,ARG
1651,full_paths_original_4_aip,"In addition, having already previewed Samsung i7110, we have to admit that the Nokia ergonomics are a whole lot better.",Samsung,Nokia,NONE,ARG
256,full_paths_original_4_aip,steel is stronger and harder then aluminum.,steel,aluminum,NONE,ARG
1680,full_paths_original_4_aip,"DWTS : ""They prefer a nice, solid Chrysler Town & Country to that newfangled Toyota Prius.""",Chrysler,Toyota,NONE,ARG
1402,full_paths_original_4_aip,"Wait, the amazon Appstore is safer than google Play?",amazon,google,NONE,ARG
692,full_paths_original_4_aip,-This maybe works too in the ps2 version but it will be harder than on the psp version.,ps2,psp,NONE,ARG
2296,full_paths_original_4_aip,"And until Chevrolet can make a better vehicle than Kia or Toyota, I will be driving an inferior vehcile because I buy American when I can.I for one abhor the idea of a global economy and a global government but with the forces pushing us in that direction, I am still looking for ways to fend it off.",Chevrolet,Toyota,NONE,ARG
820,full_paths_original_4_aip,Pick your beverage for better nutrition - milk for a calcium boost or juice instead of soda.,milk,soda,NONE,ARG
591,full_paths_original_4_aip,"The Audi Q5 is slightly shorter than the Lexus RX 350, which may make it easier to park.",Audi,Lexus,NONE,ARG
1118,full_paths_original_4_aip,"harvard Head Coach Tim Murphy on the team's win versus cornell and the upcoming game versus Lehigh Overall, our win was a very solid effort.",harvard,cornell,NONE,ARG
1996,full_paths_original_4_aip,"Gigabit Ethernet (which all of the TeraStations support) is faster than any flavor of USB or firewire, and is much more conducive to simultaneous connections to multiple machines.",Ethernet,USB,NONE,ARG
2103,full_paths_original_4_aip,the football team is decent but getting better! the basketball teams are awesome!the,football,basketball,NONE,ARG
1159,full_paths_original_4_aip,While Ruby was an order of magnitude slower than Python there was no contest.,Ruby,Python,NONE,ARG
1316,full_paths_original_4_aip,"Performance The Audi A6 has less horsepower than the Lexus IS 350, so it will probably be somewhat slower.",Audi,Lexus,NONE,ARG
3,full_paths_original_4_aip,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,Perl,Java,NONE,ARG
733,full_paths_original_4_aip,One was for pistol barrels and one with a much slower twist was for rifle barrels.,pistol,rifle,NONE,ARG
1234,full_paths_original_4_aip,"Expect enhanced chances of near normal temperatures in Washington, oregon, and western Indiana and cooler than normal in michigan and northern Wisconsin.",oregon,michigan,NONE,ARG
2397,full_paths_original_4_aip,"In general PostgreSQL is faster at complex queries with a lot of joins and such, while MySQL is faster at simple queries such as primary key look up.",PostgreSQL,MySQL,ARG,NONE
79,full_paths_original_4_aip,"I mean, when you really analyze it, is the Apple iPod really that much superior to an mp3 player from, for example, Sony?",Apple,Sony,NONE,ARG
352,full_paths_original_4_aip,I am very skeptical that Swift is faster than Objective-C.,Swift,Objective-C,NONE,ARG
1159,full_paths_original_4_aip,@9:08 At no time has the softball stadium been superior to baseball.,softball,baseball,NONE,ARG
1661,full_paths_original_4_aip,2. We all knew Windows 8 wouldn't sell better than Windows 7.,Windows 8,Windows 7,NONE,ARG
226,full_paths_original_4_aip,I lucked out to be getting one with the Samsung SSD which is a lot faster than Toshiba SSD.,Samsung,Toshiba,NONE,ARG
559,full_paths_original_4_aip,"One: Less.js has been written from the ground up for great performance, so even browsers with poor JavaScript implementation should still run it very well (Less.js is about 40 times faster than the Ruby implementation-so suffice to say it's a lot faster.).",JavaScript,Ruby,NONE,ARG
1714,full_paths_original_4_aip,"Carsten asked why the use of SQLite was not recommended because, for smaller installations, it is easier to maintain than MySQL.",SQLite,MySQL,NONE,ARG
