worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
6335115,3434703,124,4,28,1,clixsense,SRB,00,Indija,212.200.206.251,,,0,,0.8571,38
6591664,3801006,10,1,6,0,clixsense,MEX,09,Mexico,189.236.226.64,,,0,,0.8333,300
6600682,3957425,5,1,5,0,clixsense,VEN,"","",190.198.91.1,,,0,,0.8,0
8057247,4128798,5,1,4,1,clixsense,PRT,17,Vila Do Conde,82.155.222.233,,,0,,0.75,300
8941631,3735243,0,0,0,0,clixsense,,,,,,,0,,1.0,0
9832767,2758095,5,2,5,0,clixsense,IND,25,Karaikudi,61.2.68.180,,,0,,0.6,300
11003055,8FFAE287417FAF96AADFB62A30C6BB71,10,0,6,0,neodev,IND,28,Bankura,202.78.232.118,,,0,,1.0,300
11257883,4E200F9BD9296FFBDD6A67EA287D2489,5,2,5,0,neodev,CAN,BC,Vancouver,64.85.32.137,,,0,,0.6,300
11954501,4544346,0,0,0,0,clixsense,,,,,,,0,,1.0,0
12542684,3387746,20,1,7,1,clixsense,PHL,33,San Pedro,119.95.238.74,,,0,,0.8571,300
13396426,5CB26AF9CD20D7E541A29D4352C72707,139,9,33,0,neodev,PER,03,Abancay,201.230.158.178,,,0,,0.7273,76
13445914,4721256,25,1,9,0,clixsense,KAZ,16,Petropavlovsk,178.89.54.20,,,0,,0.8889,50
14218973,4835763,5,2,5,0,clixsense,UKR,26,Zaporozhye,89.21.76.50,,,0,,0.6,300
15851956,4680491,5,4,5,0,clixsense,BGR,42,Sofia,46.249.72.61,,,0,,0.2,300
17708868,5324406,0,0,0,0,clixsense,,,,,,,0,,1.0,0
17733287,5353328,10,0,6,0,clixsense,BRA,15,Belo Horizonte,191.163.128.20,,,0,,1.0,300
17848516,5375053,0,0,0,0,clixsense,,,,,,,0,,1.0,0
18185361,5421563,5,1,5,0,clixsense,MKD,41,Skopje,46.217.129.139,,,0,,0.8,300
18386513,LacysWife,0,0,0,0,instagc,,,,,,,0,,1.0,0
20477748,69,5,2,5,0,imerit_india,IND,28,Kolkata,223.30.201.109,,,0,,0.6,300
20841624,5819720,5,4,5,0,clixsense,PER,15,Lima,190.234.106.110,,,0,,0.2,0
21628557,5DA301F4751485B9044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0
23035689,202426,5,2,5,0,superrewards,MKD,A4,Sveti Nikole,89.205.98.232,,,0,,0.6,0
23486479,EE7F24A1DC0093F20FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0
26132032,6334873,5,0,5,0,clixsense,VEN,13,Barquisimeto,200.229.152.102,,,0,,1.0,0
27653179,592549,5,1,5,0,tremorgames,DEU,07,Aachen,137.226.181.129,,,0,,0.8,300
28335646,6551142,5,0,4,1,clixsense,GBR,B7,Bristol,90.253.144.149,,,0,,1.0,0
29640422,6740184,23,3,9,0,clixsense,ITA,14,Sassari,62.10.247.168,,,0,,0.6667,300
29732909,6668312,0,0,0,0,clixsense,,,,,,,0,,1.0,0
