id	sentence	a	b	without_marker
B232339008	AMD claims that Mantle allows for nine times as many draw calls per second compared to other APIs, meaning that a game running on Mantle could, in theory, draw a frame nine times faster than one running on DirectX.	A-Frame	Mantle	True
G909422561	Her gaze lingered until he glanced down at the book still in his hands, gently closed it, and slipped it back into its slot on the mantle, between two volumes that had collapsed into an a-frame in its absence.	A-Frame	Mantle	True
S3035783093	We cannot shake the feeling that despite the fact that DirectX 12 will generally make your existing hardware faster, provided compatible games show up on time, so in essence Direct3D 12 really reminds us of Mantle.	Direct3D	Mantle	False
K1671383638	Mantle is performance only thing and if you negate the boost with emulation, wouldn't it be easier to just stay with Direct3D 11 then and remain at point zero?	Direct3D	Mantle	False
Q2614520955	The point is the simplicity to port the game from console API to Mantle is probably about 1000% easier than porting to Direct3D, and there would be a lot less bugs on release.	Direct3D	Mantle	False
K1671382427	Mantle could be used instead of OpenGL for better performance for virtual machines, so it could make perfect sense in this scenario, or to better support Direct3D state trackers for Wine too like how that one patch used the D3D state tracker on open drivers.	Direct3D	Mantle	False
K1630344526	Like Mantle and Direct3D 12, OpenGL NG is expected to be a very thin API - after all, it doesn't need much code if it's just acting as a shim between the hardware and software developers - which means OpenGL NG will be much easier to implement and test.	Direct3D	Mantle	False
E686945275	Expanded metal, perforated or solid sheet metal, wire mesh on a frame of angle iron, or iron pipe securely fastened to floor or to frame of machine.	Metal	A-Frame	False
O2271192889	so, tl ; dr : it's pretty easy to see that they're in a far better position to support OpenGL/Vulkan now that they have Metal.	Metal	Vulkan	False
Q2671693658	The rest of the world continues adopting OpenCL and now the whole Khronos supergroup is super hyper for Vulkan (NV even giving a solid thumbs up), with Apple and NV being the two rogue vendors pushing proprietary wares (Metal and CUDA).	Metal	Vulkan	False
J1568758647	Just because Vulkan is newer, it doesn't mean it is always better, nor that OpenGL became an inferior choice over night.	OpenGL	Vulkan	False
D422421188	But we're also eagerly awaiting the official release of OpenGL Vulkan, which might even be better than DX12.	OpenGL	Vulkan	False
L1912477200	On March 4, 2015, Valve announced Source 2. It will support a new API based on OpenGL called Vulkan, improved performance on older and newer systems, reduced latency, an updated physics engine, 64-bit and DirectX 11, and better cross-platform support.	OpenGL	Vulkan	False
I1351863549	Is OpenGL faster than Direct3D?	OpenGL	Direct3D	False
E584184849	Direct3D in a lot of cases looks uglier than OpenGL.	OpenGL	Direct3D	False
D489166004	Clearly today OpenGL is superior to direct3D.	OpenGL	Direct3D	False
M1923909608	OpenGL is better than Direct3D.	OpenGL	Direct3D	False
J1456292872	It's much easier to learn than plain OpenGL or, even worse, Direct3D.	OpenGL	Direct3D	False
D425381324	But why is OpenGL better than Direct3D?	OpenGL	Direct3D	False
A61170963	2 - Is Learning OpenGL much easier than Direct3D?	OpenGL	Direct3D	False
E584184949	Direct3D is now better than OpenGL Says John Carmack	OpenGL	Direct3D	False
E677738969	"Everyone knows" that DirectX (or Direct3D) is better than OpenGL ?	OpenGL	Direct3D	False
I1297096755	interfaces for better encapsulation of OpenGL and Direct3D.	OpenGL	Direct3D	False
