caption,sentence,object_a,object_b,predicted,gold
Unigrams,"My Brit friends Denny and Gillian are continually disgusted by my affection for ""eggy bread"" and maple syrup, or worse-sausage studded with apple and raisins.",bread,sausage,NONE,ARG
Unigrams,"I still used Joystick's metal backing plates, but only to better distribute the load to the marine plywood.",metal,plywood,ARG,NONE
Unigrams,Exactly like Windows XP and 7 and nothing like Windows 8. but with better performance,Windows XP,Windows 8,NONE,ARG
Unigrams,The Lenticular plastic is poorly glued to the cardboard backing; multiple pieces have flaked off.,plastic,cardboard,ARG,NONE
Unigrams,"Volkswagen improves slightly slower than the market at +28% to 10% share in May, followed by Peugeot (+52%), Mercedes (+29%), BMW (+14%), Nissan up a gargantuan 79% and Ford up an equally impressive 78%.",Nissan,Ford,NONE,ARG
Unigrams,The Renault Trafic (which is also available in South Africa as the Nissan Primastar and Opel Vivaro) couldn't do better than two stars.,Renault,Nissan,ARG,NONE
Unigrams,"volleyball has helped me to see players in basketball better, and I have a better idea of what's happening.''",volleyball,basketball,NONE,ARG
Unigrams,"The restaurant is doing much better,"" Sal reveals of Papa C's Eastside cafe.",restaurant,cafe,NONE,ARG
Unigrams,Why should I give you $6 for a lousy potato when I've aready paid $35 for a steak?,potato,steak,NONE,ARG
Unigrams,There is a long debate regarding whether MySQL is better or PostgreSQL.,MySQL,PostgreSQL,ARG,NONE
Unigrams,LUKE : Is Perl better than Python?,Perl,Python,ARG,NONE
Unigrams,"-SQL Server is significantly superior to MySQL, faster than PostgreSQL, and for most businesses is cheaper than Oracle.",MySQL,PostgreSQL,ARG,NONE
Unigrams,"How about they put the Ethernet port back on the notebook, they include more USB ports and a solid optical drive.",Ethernet,USB,ARG,NONE
Unigrams,"Talking about the apps, the OS have some of the integrated apps by Sony which might have a better replacement in the Google Play Store, but they are well mixed with the present UI.",Sony,Google,ARG,NONE
Unigrams,Even Windows 8 does (in my experience) a decent job of playing games that hark back to the Windows XP era.,Windows 8,Windows XP,NONE,ARG
Unigrams,"I'm using mesa and xserver 9999 _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, Google etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, Kingston, WD, Yahoo, MSI, XFX, Huawei My blog",Google,Kingston,NONE,ARG
Unigrams,That means no more reckless nonsense on the golf course during the off-season and dedicating himself to hockey even harder.,golf,hockey,ARG,NONE
Unigrams,"Windows 8 Developer desktop - looks like Windows 7, runs a hair faster.",Windows 8,Windows 7,NONE,ARG
Unigrams,"That Samsung, LG, Sony, etc don't have the source code, just means that Google are able to release faster, surely?",Sony,Google,NONE,ARG
Unigrams,"She'd like to try hockey, but her dad got her hooked on the safer alternative of golf instead.",hockey,golf,ARG,NONE
Unigrams,Thats like saying Michael Jordan could hit a baseball better than Babe Ruth because of his superior basketball skills.,baseball,basketball,ARG,NONE
