,id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,sentencer,paths,idr,s_len
1410,134,middle_paths_unrestricted_16,From (1) and (2) follows this question: Is it possible at all to write a web framework in Ruby that's faster than PHP?,Ruby,PHP,NONE,BETTER,1.0,lex (unique),"Like michigan, pennsylvania is within a point of moving into the safer', 'Obama lean category.",[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],K1630595994,118
1411,830,middle_paths_unrestricted_16,"Even without the heavy functional stuff, just as a basic OO language, Scala is far better than C++/Java/C#.",Scala,Java,NONE,BETTER,1.0,lex (unique),"Obama did better in North carolina than Hillary had done in', 'pennsylvania and Indiana was considered too close to call until well', 'past midnight.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ do/VERB/advcl/V Y/PROPN/pobj/<']]",L1858700103,107
1412,378,middle_paths_unrestricted_16,"Again, this is a decent beer but its not my cup of tea.",beer,tea,WORSE,NONE,1.0,lex (unique),"Why can't Ford puts better handling into the FWD Fusion if Honda can"", 'do it 10 years ago?",[['X/PROPN/nsubj/> put/VERB/ROOT/^ if/ADP/prep/< Y/PROPN/pobj/<']],T3173142468,55
1413,1618,middle_paths_unrestricted_16,"The sausage is decent too, three kinds sold by the sandwich ($7.50) or by the pound ($15.75).",sausage,sandwich,BETTER,NONE,1.0,lex (unique),"georgia looked much better against missouri, particularly in the', 'second half than it did at any point against Buffalo and might be', 'putting things together now.","[['X/PROPN/nsubj/> look/VERB/ROOT/^ better/ADV/acomp/< against/ADP/prep/<', 'Y/PROPN/pobj/<']]",F804953248,93
1416,504,middle_paths_unrestricted_16,Java apps on Mac are slower and bulkier than their native Objective-C counterparts.,Java,Objective-C,BETTER,WORSE,1.0,lex (unique),"With the wii remote (and later the shameless copy, the playstation', 'Move), faster precision was never this simple!","[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ remote/ADJ/nmod/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/dobj/<']]",T3203049748,83
1417,13,middle_paths_unrestricted_16,"As good as michigan has been defensively this season, virginia has been even better.",michigan,virginia,NONE,WORSE,0.8,lex (unique),"We say 'Java is the gateway to hell.' Lisp is just a better"", 'alternative to the intelligent Internet: It runs on 14 different', ""platforms and doesn't need any type of virtual machine because it"", 'compiles directly to native machine instructions on all popular', ""microprocessor architectures.'",[['NOPATH']],S3082464864,84
1421,9,middle_paths_unrestricted_16,"The pasta was mediocre, not as memorable as the pizza.",pasta,pizza,NONE,WORSE,0.6,lex (unique),Samsung Fascinate vs Motorola DROID X,[['X/PROPN/compound/> fascinate/PROPN/ROOT/^ vs/ADP/prep/< Y/PROPN/pobj/<']],N2130818340,54
1422,692,middle_paths_unrestricted_16,-This maybe works too in the ps2 version but it will be harder than on the psp version.,ps2,psp,BETTER,WORSE,1.0,lex (unique),"This is just like ""which is better, Ruby or PHP?"" or jazz vs. pop.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<']]",R2839423297,87
1425,1720,middle_paths_unrestricted_16,"Scala is not a better Java, it's an ML for JVM",Scala,Java,BETTER,WORSE,1.0,lex (unique),Downloads: Pokemon Ruby Java Mobile Game,[['X/PROPN/compound/> Y/PROPN/ROOT/^']],E606781226,46
1426,127,middle_paths_unrestricted_16,"JUnit is, in turn, a Java version of Kent's Smalltalk testing framework.",Java,Smalltalk,BETTER,NONE,1.0,lex (unique),"Sadly, at that time AMD wasn't 100% compatible to Intel; but still way"", 'better than that IBM/Cyrix shit.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ good/ADJ/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ that/DET/det/V Y/PROPN/pobj/<']]",N2125709781,72
