caption,sentence,object_a,object_b,predicted,gold
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Again, Facebook is growing faster than Apple and Google.",Apple,Google,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Ted kennedy would have been a much better president than reagan or Carter.,kennedy,reagan,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",In summary - a plaigarized technology - a bad cement and a worse concrete.,concrete,cement,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",It's more explicit and faster (especially since regex in Python is not super optimized like Perl).,Python,Perl,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","In my opinion Dodge and Chrysler are far better than Toyota, Honda, Chevrolet or GMC, and are far more reliable.",Toyota,Chrysler,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","I have also rented many cars, American and Japanese, and with the exception of a very smooth ride in a Cadillac, I always like the Japanese cars better (Nissan and Toyota, vs. Ford, Chrysler and GM).",Toyota,Chrysler,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","After some basic performances checking as seen in my Common Lisp Sudoku Solver project where I did get up to ten times faster code when compared to Python, it felt like the amazing set of features of the language could be put to good use here.",Python,Lisp,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Nissan seems to be in slightly better shape than either Toyota or Honda.,Toyota,Nissan,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Come on now Windows 8 may not be Windows 7 in popularity but it is actually a better, faster and more secure OS.",Windows 7,Windows 8,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",2. Ease-of-learning: Scala is probably a bit easier for Java folks.,Java,Scala,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","It's a decent rival to the Mercedes-Benz CLA45 AMG, though the Mercedes still wins when it comes to power output; let's hope Audi hurries up and brings out a new RS 3.",Audi,Mercedes-Benz,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","However even after I compiled groovy code, to java bytecode, it still ran much slower than Python and Ruby.",Ruby,Python,WORSE,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",How was it that Nokia overcame Motorola?,Nokia,Motorola,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Instead of pizza, it'll be easier to choose a salad or healthy sandwich .",pizza,sandwich,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","We believe that your upgrade experience in Windows 8 will be a breeze by offering a faster experience, a single upgrade path, and compatibility from prior versions of Windows, ' Microsoft's Brandon LeBlanc claimed in a statement which handily overlooks the fact that upgrades from Windows XP won't migrate any programs or settings.",Windows XP,Windows 8,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",They cut off tennis coverage to show us Women's college basketball or even worse little league baseball...,baseball,tennis,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",We chose MySQL over PostgreSQL primarily because it scales better and has embedded replication.,MySQL,PostgreSQL,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","(10 For NetBeans, -5 for Eclipse)",Eclipse,NetBeans,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",its a little better than fox/espn.,fox,espn,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Java might be a bit slower than C/C++/Fortran, but is not as slow as Python/Perl.",Python,Perl,WORSE,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",If any company is behaving even worse than Microsoft at it's market peak it is Apple.,Microsoft,Apple,WORSE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Reviewed by: Lianne Reitter , send e-mail Published by: Stardock Corporation, go to the web site Requires: Works best with Windows XP, but also works with Windows 98, ME and 2000; Pentium III or faster CPU, 128MB RAM MSRP: $49.95",Windows XP,Windows 98,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Why would IBM and Cisco be better positioned than Microsoft in the cloud?,Microsoft,IBM,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Windows XP and particularly Mac OS X performed better than Windows Vista in these benchmarks.,Windows XP,Windows Vista,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Sony, though having slower updates, does manage to optimize the OS much better than Google, yielding better results.",Google,Sony,WORSE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","I like Python, but its only faster than Java / C# for small projects - and even then not by much.",Java,Python,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Motorola's menu design seems better than Samsung to me, but Nokia still rules the roost in interface design.",Nokia,Samsung,BETTER,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",After working for years in PHP he finally found the far superior Ruby on Rails.,Ruby,PHP,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",I totally agree with your conclusion that Sony products are better off tham Apple products.,Apple,Sony,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","I'm getting excited because most people got the impression from testing that BMW wouldn't be any better than Renault/Red Bull/Williams/Toyota - and now it turns out they're miles ahead from that group, and even look slightly closer to McLaren/Ferrari than last year.",Toyota,BMW,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",california door suppliers better wake up before this Ambiance company from North carolina take away all their business.,california,carolina,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",This printer has always been slow but it's even slower now that I'm using a USB connection instead of Ethernet.,USB,Ethernet,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",I've found that the tools based on Perl and Python to be much slower under Windows than K9.,Python,Perl,WORSE,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","CAMBRIDGE, Mass - Behind solid pitching and four home runs, dartmouth swept harvard, 8-2 and 9-2, to claim back-to-back Ivy League North Division Championships on Monday afternoon.",harvard,dartmouth,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","In these cases, Perl is the better tool than Java and having this skillset is a good thing.",Java,Perl,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","I've pre-ordered a Leica M and I'm hoping that it's a camera I can use for my personal projects ... I want something small, digital .... and I want the images to ""look"" better than Canon/Nikon etc ...",Nikon,Leica,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",michigan  ran into one of the nation's better defenses in a 12 point loss at virginia.,virginia,michigan,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","I tried creating a version that mimics the Perl one (because Ruby also has the -n option), but in the end this seemed easier (and much more readable):",Ruby,Perl,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Python at least is every bit as good at 'net' programming as Java, and faster to develop with.",Java,Python,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","While the new BMW 3 Series and Infiniti G37 may offer slightly better chassis dynamics than this latest Accord, neither has an engine note as nice as this Honda.",Honda,BMW,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",GM & Ford have just as good if not better quality that Toyota.,Ford,Toyota,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","6. nixon definitely belongs on this list, however, I would say he was better than Bush, reagan, and possibly Eisenhower.",reagan,nixon,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Thoughts that day turned not to coffee, but to water and juice, the cooler the better.",coffee,juice,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Arguably the biggest disappointment with the psp version of Armored Core 3 is the control scheme; it's simply inferior to the ps2 version.,psp,ps2,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Make sure you are using the Ethernet port rather than the USB one, it will be faster with 98 anyway and should just work with linux.",USB,Ethernet,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",wedding gifts are worse than birthday gifts or other thoughtful gestures given freely.,wedding,birthday,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","One can argue that Toyota comes up with better names than, say BMW - ""Avalon"", ""Tacoma"", ""Corrolla"" sound better than ""3.25"" or ""5.25"".",Toyota,BMW,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",So Scala is no better off then Java.,Java,Scala,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",The advantage of Java over Python for scientific computing is faster for,Java,Python,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Python with Gtk+ or Qt is a much better cross-platform environment than Java: easier to develop for, with better desktop integration, and nicer looking UIs.",Java,Python,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","This result surpasses all single-JVM submission from HP and Dell, and is faster than all 8-core or less single-JVM submissions from IBM.",IBM,Dell,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",Windows XP,Windows Vista,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",PHP is definitely far worse that Perl .,PHP,Perl,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","There is google Chrome for Ubuntu, and Rythmbox is a much better alternative to itunes, imho.",google,itunes,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Even the Sony SA-W3000, which you can get on Amazon for $130, is a MUCH better one than what you have (over twice the cone area and twice the amplifier power; 10 times as much bass)!",Sony,Amazon,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",How much cooler would it be to have Major League baseball than NBA basketball in Brooklyn?,baseball,basketball,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","No, I've had some very bad experiences with a bad language :-) And having started getting into Groovy, I might say that time spent on something like, say, closures, would be time better spent in the Java world then parametric polymorphism.",Java,Groovy,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",wii owners don't seem to care that several of its games look worse than gamecube games.,wii,gamecube,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",You don't want super sticky rubber though because it will wear out faster on concrete tees.,concrete,rubber,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Indeed, this has nothing in particular to do with Windows XP, however Windows Vista is becoming worse with respect to integrating DRM into the OS.",Windows XP,Windows Vista,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",I said: Perl isn't even always faster than Java at text processing.,Java,Perl,BETTER,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Other can see that Amazon and Best Buy are selling Macs better than Apple can.,Apple,Amazon,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Primarily Ruby on Rails 3.2, but always wanting to get better at JavaScript too.",Ruby,JavaScript,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","From here on out the skiing will get worse, but fishing and flower gazing will improve.",fishing,skiing,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","AMD and Apple are leading the way, and Intel better get in line soon.",Apple,Intel,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",# This subprogram will green tag a red tagged truck  and mark it as availible #Each truck should have its own file and there should be a csv file showing the current status of all of the trucks in the system # This might be easier to write as a Bash script rather then a Python program.,Python,Bash,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","However the bandwidth (5.3 GB/second), clock speed (166MHz max) and bus size (256-bit) of the psp GPU is far inferior to that in the ps2.",psp,ps2,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",I think that Scala probably is not better than Java yet.,Java,Scala,BETTER,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",JavaScript is not made to build files... PHP is probably a better tool to build js files with text files.,PHP,JavaScript,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Only 78% of Apple customers were satisfied or very satisfied with their value for money; Lenovo was worse, with only 70% satisfaction and Sony was bottom with 62%.",Apple,Sony,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","volleyball has helped me to see players in basketball better, and I have a better idea of what's happening.''",basketball,volleyball,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Sony Xperia Tablet Z has a better processor, much better form factor, slightly larger display, better connectivity options, better compatibility, better performance, etc., as compared to Apple iPad.",Apple,Sony,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","I will admit to only one significant thing I like about Lisp better than Python, and that's easy programmatic manipulation of other code.",Python,Lisp,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","As well, aluminum would be a cooler, reflective metal than steel.",metal,aluminum,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Crapware, huh? google + is vastly superior to facebook?",google,facebook,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Why did the Windows XP search tool have to be so much worse than the Windows 98 one?,Windows XP,Windows 98,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",The Toyota Tundra gets worse fuel economy than the larger Ford F-150 or Dodge Ram.,Ford,Toyota,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","In terms of the reliability of models sold in the past three years, CR shows that 90% of Toyota models it rated have better-than-average reliability, vs. 35% for Chrysler, 25% for GM, and just 7% for Ford.",Toyota,Chrysler,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","For example he was acclaiming, that Nokia N8 has a worse camera, than SE Satio or Samsung S8500.",Nokia,Samsung,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Seriously, if the jeep doesn't win it's because the Subby Outback is a WAY better suv",suv,jeep,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Is a BMW/Benz 5x better than a Honda Civic?,Honda,BMW,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",football is one thing; basketball should be easier.,football,basketball,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","While missouri has solid football programs, they do not compare to states like Florida, georgia and Texas.",georgia,missouri,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","The Amazon ""service"" makes the Kindle superior to the Sony Reader in many ways, hands down.",Sony,Amazon,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",I traded in a much nicer Samsung cell phone for a lesser (in terms of bells and whistles) Nokia phone because I just like their layout better.,Nokia,Samsung,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","It is powered (OTS) by SQLite, but for larger systems can use MySQL (obviously quite capable), supports multiple playlists, global hotkeys, a decent search (no support for regex tho, AFAIK), etc.",MySQL,SQLite,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",What if I can't find any aspect of PHP that is better than Ruby?,Ruby,PHP,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","But those games are both available for ds and Wii as well, its just simply that we were able to get better deals on the ps2 versions.",ds,ps2,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","The Nissan was better, it never left me walking like the Toyota did on several occasions.",Toyota,Nissan,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Users of Windows 98 and previous versions will find Windows XP a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.",Windows XP,Windows 98,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Disadvantages: Not common outside science (e.g. for jobs), lacks features, slower development than Python/Perl.",Python,Perl,WORSE,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Is Ruby truly better than Python (scripting/programming wise), what about speed wise?",Ruby,Python,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Thanks to boom years and good investments in virginia, we have achieved decent rates and funding - much, much better than some states such as california, New York, and Illinois.",california,virginia,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Allen downloaded the free versions of both databases and found MySQL 4 easier to use than PostgreSQL.,MySQL,PostgreSQL,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",wii U GPU And CPU Slower Than Xbox 360 And playstation 3,playstation,wii,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",With my super fast SSD I find that Windows 7 loads no slower Windows 8.,Windows 7,Windows 8,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","In fact, the NHTSA says that traveling by school bus is seven times safer than traveling by car or truck.",bus,truck,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",The build quality of the LG made Nexus 5 is better than Samsung - but not better than Nokia!,Nokia,Samsung,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","In CR's Annual Car Reliability Survey, the Ford Fusion and Mercury Milan sedans scored slightly better than the Honda Accord V6 and Toyota Camry V6.",Ford,Honda,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","This is why it is easier to install Windows 98 first, then Windows XP.",Windows XP,Windows 98,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",We were glad that Apple was a niche product compared with the ubiquity of the competition of mediocre IBM clones.,Apple,IBM,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Some Auto Dealers in San Mateo County CA Are Much Better Than Others The Prime Buyer's Report lists these automobile dealerships in San Mateo County: Autobahn Motors, Putnam Chevrolet Cadillac Inc, Serramonte Ford Used Cars, Toyota 101, Putnam Lexus, Boardwalk Auto Center, Peter Pan Motors Inc, Grace Honda, BMW Specialist.",Cadillac,Lexus,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Apple support ain't the best, but it's not bad, and certainly better than Dell.",Apple,Dell,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Actually for many Windows XP users it is easier to migrate to Linux Mint than to Windows 8.,Windows XP,Windows 8,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","I know I'm coming late to the party, but tennis is (in my mind) indisputably harder than baseball.",baseball,tennis,BETTER,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","I would kill to see good games written in Java or better yet, Scala or Clojure.",Java,Scala,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","It's faster than facebook and google Plus, which is significant.",google,facebook,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","I would also say San Francisco is also much ""better"" than other areas I have lived--michigan, Kentucky, virginia.",virginia,michigan,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","The Chevrolet Cruze is, quite frankly, a better car than the Honda Civic or Toyota Corolla.",Toyota,Chevrolet,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Maybe things will be better in oregon in 2 to 5 yrs but right now they have the second highest unemployment rate in the country, right behind michigan.",michigan,oregon,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Ferrari heads over both BMW Sauber and McLaren.,Ferrari,BMW,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","This is updated to take full advantage of Java 8. - Scala is slightly nicer some syntactic flourishments (for comprehensions, pattern matching), but it's not necessary.",Java,Scala,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Python skills a plus, but not required, especially if you're solid at JavaScript.",Python,JavaScript,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",google Video was good but youtube was better.,google,youtube,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","For me, being a lefty who is right-eye dominant means I'm lousy at tennis but great at golf.",golf,tennis,NONE,WORSE
