_unit_id,_created_at,_updated_at,a,also_acceptable,b,expected_label,id,marker,raw_text,text_html,text_readable,label_gold,label_gold_reason
1532714377,1/5/2018 16:45:23,1/5/2018 17:20:21,Ford,"",Toyota,N,G988583627,TRUE,"Not to be outdone by laptop rival Sony, Dell yesterday announced the availability of SSD (solid-state drive) technology for its Latitude D420 and D620 notebooks.","How much better did <span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span> and GM get once <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span> became a viable competitor-ergo, a real threat?","How much better did *Ford* and GM get once §Toyota$ became a viable competitor-ergo, a real threat?",,
1532714378,1/5/2018 16:45:23,1/5/2018 17:22:57,Honda,"",BMW,N,M1981997867,TRUE,"How much better did Ford and GM get once Toyota became a viable competitor-ergo, a real threat?","People only believe your drive a <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span> is because you are a wealthy individual who can afford a better car than a <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span> Civic.",People only believe your drive a *BMW* is because you are a wealthy individual who can afford a better car than a §Honda$ Civic.,,
1532714379,1/5/2018 16:45:23,1/5/2018 17:17:32,Ibuprofen,"",Advil,N,N2120184696,TRUE,People only believe your drive a BMW is because you are a wealthy individual who can afford a better car than a Honda Civic.,"RTPR is marketed as a safer alternative to using acetaminophen like Tylenol, non-steroidal anti-inflammatory drugs (NSAIDs) like aspirin, <span style=""color: #9A14B2; font-weight: bold"">Ibuprofen:[OBJECT_A]</span> like <span style=""color: #6CB219; font-weight: bold"">Advil:[OBJECT_B]</span>, naproxen sodium like Aleve and addicting opioids like oxycodone, hydrocodone, and fentanyl, better known by such brand names as OxyContin ® , Vicodin ® , Percocet ® , and Actiq and  other oral pain medications.","RTPR is marketed as a safer alternative to using acetaminophen like Tylenol, non-steroidal anti-inflammatory drugs (NSAIDs) like aspirin, *Ibuprofen* like §Advil$, naproxen sodium like Aleve and addicting opioids like oxycodone, hydrocodone, and fentanyl, better known by such brand names as OxyContin ® , Vicodin ® , Percocet ® , and Actiq and  other oral pain medications.",,
1532714380,1/5/2018 16:45:23,1/5/2018 17:16:54,Intel,"",Kingston,N,P2536976326,TRUE,"RTPR is marketed as a safer alternative to using acetaminophen like Tylenol, non-steroidal anti-inflammatory drugs (NSAIDs) like aspirin, ibuprofen like Advil, naproxen sodium like Aleve and addicting opioids like oxycodone, hydrocodone, and fentanyl, better known by such brand names as OxyContin ® , Vicodin ® , Percocet ® , and Actiq and  other oral pain medications.","The <span style=""color: #9A14B2; font-weight: bold"">Kingston:[OBJECT_A]</span> 40GB SSD based on the <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> controller is at the $100 mark and I expect it to be outshone by something way better in the next 4 - 6 months.",The *Kingston* 40GB SSD based on the §Intel$ controller is at the $100 mark and I expect it to be outshone by something way better in the next 4 - 6 months.,,
1532714381,1/5/2018 16:45:23,1/5/2018 17:25:08,Nike,"",Adidas,N,M1993019899,TRUE,The Kingston 40GB SSD based on the Intel controller is at the $100 mark and I expect it to be outshone by something way better in the next 4 - 6 months.,"Pharoahe's Official like Starter, hit harder than Fort Green Authentic, <span style=color: #9A14B2; font-weight: bold"">Nike:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Adidas:[OBJECT_B]</span> and Spalding ?Permitted? behind the back like makin em all fiend From my intricate ways to shake ya whole team Official,""","Pharoahe's Official like Starter, hit harder than Fort Green Authentic, *Nike*, §Adidas$ and Spalding ?Permitted? behind the back like makin em all fiend From my intricate ways to shake ya whole team Official,",,
1532714382,1/5/2018 16:45:23,1/5/2018 17:20:35,Advil,"",Motrin,N,A151621104,FALSE,"Pharoahe's Official like Starter, hit harder than Fort Green Authentic, Nike, Adidas and Spalding ?Permitted? behind the back like makin em all fiend From my intricate ways to shake ya whole team Official,","<span style=""color: #9A14B2; font-weight: bold"">Advil:[OBJECT_A]</span> Aleve Bayer Aspirin Ecotrin Excedrin <span style=""color: #6CB219; font-weight: bold"">Motrin:[OBJECT_B]</span>",*Advil* Aleve Bayer Aspirin Ecotrin Excedrin §Motrin$,,
1532714384,1/5/2018 16:45:23,1/5/2018 17:38:37,Ferrari,"",BMW,N,I1404072421,FALSE,Advil Aleve Bayer Aspirin Ecotrin Excedrin Motrin,"It is <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span>, not <span style=""color: #6CB219; font-weight: bold"">Ferrari:[OBJECT_B]</span>.","It is *BMW*, not §Ferrari$.",,
1532714385,1/5/2018 16:45:23,1/5/2018 17:16:53,Ibuprofen,"",Advil,N,I1291955239,TRUE,"It is BMW, not Ferrari.","Instead of tylenol, it may be better to take ASAs (Aspirin) or <span style=""color: #9A14B2; font-weight: bold"">Ibuprofen:[OBJECT_A]</span> (<span style=""color: #6CB219; font-weight: bold"">Advil:[OBJECT_B]</span>), about a half-hour to hour before the appointment since these actually are anti-infammatories (reduce swelling, also i the hair follicle releasing the... READ COMMENT","Instead of tylenol, it may be better to take ASAs (Aspirin) or *Ibuprofen* (§Advil$), about a half-hour to hour before the appointment since these actually are anti-infammatories (reduce swelling, also i the hair follicle releasing the... READ COMMENT",,
1532714386,1/5/2018 16:45:23,1/5/2018 17:17:32,Advil,"",Motrin,N,K1745010205,FALSE,"Instead of tylenol, it may be better to take ASAs (Aspirin) or ibuprofen (Advil), about a half-hour to hour before the appointment since these actually are anti-infammatories (reduce swelling, also i the hair follicle releasing the... READ COMMENT","<span style=""color: #9A14B2; font-weight: bold"">Motrin:[OBJECT_A]</span>®, <span style=""color: #6CB219; font-weight: bold"">Advil:[OBJECT_B]</span>®, Aleve®), and painkillers.","*Motrin*®, §Advil$®, Aleve®), and painkillers.",,
1532714387,1/5/2018 16:45:23,1/5/2018 17:10:36,Google,"",Intel,N,I1380591853,TRUE,"Motrin®, Advil®, Aleve®), and painkillers.","It has Dual Core <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span> Celeron Processor with 100 GB <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> Drive Storage with 16 GB Solid State Drive.",It has Dual Core *Intel* Celeron Processor with 100 GB §Google$ Drive Storage with 16 GB Solid State Drive.,,
1532714388,1/5/2018 16:45:23,1/5/2018 17:23:35,Samsung,"",Motorola,N,N2130818340,FALSE,It has Dual Core Intel Celeron Processor with 100 GB Google Drive Storage with 16 GB Solid State Drive.,"<span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> Fascinate vs <span style=""color: #6CB219; font-weight: bold"">Motorola:[OBJECT_B]</span> DROID X",*Samsung* Fascinate vs §Motorola$ DROID X,,
1532714389,1/5/2018 16:45:23,1/5/2018 17:10:36,Intel,"",Dell,N,E563972966,TRUE,Samsung Fascinate vs Motorola DROID X,"<span style=""color: #9A14B2; font-weight: bold"">Dell:[OBJECT_A]</span> ""considered"" AMD publicly a few times, just to get a better deal with <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span>.","*Dell* ""considered"" AMD publicly a few times, just to get a better deal with §Intel$.",,
1532714390,1/5/2018 16:45:23,1/5/2018 17:20:21,Samsung,"",Motorola,N,E722958970,FALSE,"Dell ""considered"" AMD publicly a few times, just to get a better deal with Intel.","First, <span style=""color: #9A14B2; font-weight: bold"">Motorola:[OBJECT_A]</span>, then HTC and <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span>.","First, *Motorola*, then HTC and §Samsung$.",,
1532714391,1/5/2018 16:45:23,1/5/2018 17:23:57,Nikon,"",Leica,N,J1440735770,TRUE,"First, Motorola, then HTC and Samsung.","It's a typical model, with over 180,000 sold separating 1950 and 1957, it accepts all the zillions of screw mount lenses Leitz built up to which time (and also early 39mm screw mount Canon, <span style=""color: #9A14B2; font-weight: bold"">Nikon:[OBJECT_A]</span>, and even a lot of Russian made contacts), and there's often a bunch readily available on eBay.I do not advise the <span style=""color: #6CB219; font-weight: bold"">Leica:[OBJECT_B]</span> IIIg; although it is a far better camera, enthusiasts keep it's price hovering in the $a thousand range.","It's a typical model, with over 180,000 sold separating 1950 and 1957, it accepts all the zillions of screw mount lenses Leitz built up to which time (and also early 39mm screw mount Canon, *Nikon*, and even a lot of Russian made contacts), and there's often a bunch readily available on eBay.I do not advise the §Leica$ IIIg; although it is a far better camera, enthusiasts keep it's price hovering in the $a thousand range.",,
1532714392,1/5/2018 16:45:23,1/5/2018 17:07:55,Intel,"",Dell,N,J1513428786,TRUE,"It's a typical model, with over 180,000 sold separating 1950 and 1957, it accepts all the zillions of screw mount lenses Leitz built up to which time (and also early 39mm screw mount Canon, Nikon, and even a lot of Russian made contacts), and there's often a bunch readily available on eBay.I do not advise the Leica IIIg; although it is a far better camera, enthusiasts keep it's price hovering in the $a thousand range.","I was a noobie to <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span> and Windows when I got the <span style=""color: #6CB219; font-weight: bold"">Dell:[OBJECT_B]</span>, but I have to say that building a system is so much better.","I was a noobie to *Intel* and Windows when I got the §Dell$, but I have to say that building a system is so much better.",,
1532714393,1/5/2018 16:45:23,1/5/2018 17:23:10,Microsoft,"",Sony,N,N2262482990,TRUE,"I was a noobie to Intel and Windows when I got the Dell, but I have to say that building a system is so much better.","<span style=""color: #9A14B2; font-weight: bold"">Sony:[OBJECT_A]</span> better hope and pray that <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span> follows suit on the Xbox720.",*Sony* better hope and pray that §Microsoft$ follows suit on the Xbox720.,,
1532714394,1/5/2018 16:45:23,1/5/2018 17:24:40,Microsoft,"",Dell,N,F812459685,TRUE,Sony better hope and pray that Microsoft follows suit on the Xbox720.,"Given that the ""big three"" PC manufacturers are <span style=""color: #9A14B2; font-weight: bold"">Dell:[OBJECT_A]</span>, HP and Lenovo, this opportunity couldn't have come at a better time for <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span>.","Given that the ""big three"" PC manufacturers are *Dell*, HP and Lenovo, this opportunity couldn't have come at a better time for §Microsoft$.",,
