_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,label:confidence,a,also_acceptable,b,expected_label,id,label_gold,marker,raw_text,text_html,text_readable,type
1534176830,False,finalized,3,1/11/2018 13:03:12,BETTER,0.7138,Ruby,,PHP,W,G1031319964,,True,I can't imagine that PHP is faster than Ruby (the language; I'm not talking about Rails).,"I can't imagine that <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is faster than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> (the language; I'm not talking about Rails).",I can't imagine that *PHP* is faster than §Ruby$ (the language; I'm not talking about Rails).,compsci
1534176831,False,finalized,3,1/11/2018 13:06:49,WORSE,0.6386,Windows XP,,Windows Vista,W,L1828119025,,True,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span>, I had dutifully remained on <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with *Windows Vista*, I had dutifully remained on §Windows XP$, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",compsci
1534176832,False,finalized,3,1/11/2018 12:36:51,NONE,0.6698,PHP,,Perl,W,M1996510083,,True,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.","<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> community; TMTOWTDI.","*PHP* would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the §Perl$ community; TMTOWTDI.",compsci
1534176833,False,finalized,3,1/11/2018 13:03:12,WORSE,1.0,USB,,Bluetooth,W,L1868520095,,True,"Of course you also have the option of the USB, but personally I liked the Bluetooth better.","Of course you also have the option of the <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span>, but personally I liked the <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> better.","Of course you also have the option of the *USB*, but personally I liked the §Bluetooth$ better.",compsci
1534176834,False,finalized,3,1/11/2018 12:35:00,WORSE,1.0,Java,,Perl,W,M1988300932,,True,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,"<span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> has a large user base but it is still easier to find candidates that already know industrial C++ or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",*Perl* has a large user base but it is still easier to find candidates that already know industrial C++ or §Java$.,compsci
1534176835,False,finalized,3,1/11/2018 12:33:41,WORSE,1.0,Windows 7,,Windows 8,W,R2873497635,,True,This time Windows 8 was roughly 8 percent slower than Windows 7.,"This time <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> was roughly 8 percent slower than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span>.",This time *Windows 8* was roughly 8 percent slower than §Windows 7$.,compsci
1534176836,False,finalized,3,1/11/2018 12:59:11,OTHER,1.0,Java,,Perl,W,H1153354916,,True,"I haven't tried the C# and Java interfaces, but I'd expect them to be on the level of C and Perl, respectively, or a bit slower.","I haven't tried the C# and <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> interfaces, but I'd expect them to be on the level of C and <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>, respectively, or a bit slower.","I haven't tried the C# and *Java* interfaces, but I'd expect them to be on the level of C and §Perl$, respectively, or a bit slower.",compsci
1534176837,False,finalized,3,1/11/2018 12:35:48,WORSE,1.0,Perl,,AWK,W,H1195626804,,True,"I'm a Perl guy myself, but sometimes AWK is faster and cleaner for extracting data.","I'm a <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> guy myself, but sometimes <span style=""color: #6CB219; font-weight: bold"">AWK:[OBJECT_B]</span> is faster and cleaner for extracting data.","I'm a *Perl* guy myself, but sometimes §AWK$ is faster and cleaner for extracting data.",compsci
1534176838,False,finalized,3,1/11/2018 12:32:03,WORSE,1.0,PHP,,JavaScript,W,T3239865546,,True,"You can do form checking with PHP, but it is much easier to use JavaScript to check the form before posting.","You can do form checking with <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span>, but it is much easier to use <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> to check the form before posting.","You can do form checking with *PHP*, but it is much easier to use §JavaScript$ to check the form before posting.",compsci
1534176840,False,finalized,3,1/11/2018 12:34:12,WORSE,1.0,PHP,,Perl,W,H1158795912,,True,"I have written similar mechanisms in Perl, but prefer the PHP solution as it is easier.","I have written similar mechanisms in <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span>, but prefer the <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> solution as it is easier.","I have written similar mechanisms in *Perl*, but prefer the §PHP$ solution as it is easier.",compsci
1534176841,False,finalized,3,1/11/2018 12:35:33,WORSE,1.0,Java,,Python,W,Q2633879136,,True,The real reason why Python will still be slower than Java is because it's a much more dynamic language.,"The real reason why <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> will still be slower than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> is because it's a much more dynamic language.",The real reason why *Python* will still be slower than §Java$ is because it's a much more dynamic language.,compsci
1534176842,False,finalized,3,1/11/2018 12:35:48,WORSE,1.0,Ruby,,PHP,W,B270221204,,True,And of course we did those benchmarks 2 and 3 years ago when Ruby was about 50% slower than PHP.,"And of course we did those benchmarks 2 and 3 years ago when <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> was about 50% slower than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>.",And of course we did those benchmarks 2 and 3 years ago when *Ruby* was about 50% slower than §PHP$.,compsci
1534176843,False,finalized,3,1/11/2018 13:06:02,WORSE,1.0,MySQL,,PostgreSQL,W,I1389604590,,True,"I think Subversion will remain in use for the same reason MySQL remains in use, even though it is drastically inferior to PostgreSQL -- inertia.","I think Subversion will remain in use for the same reason <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> remains in use, even though it is drastically inferior to <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> -- inertia.","I think Subversion will remain in use for the same reason *MySQL* remains in use, even though it is drastically inferior to §PostgreSQL$ -- inertia.",compsci
