id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
G1031319964,compsci,Ruby,PHP,I can't imagine that PHP is faster than Ruby (the language; I'm not talking about Rails).,0.7138,0.5106,3,1,1,BETTER,3,3,2,"I can't imagine that <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is faster than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> (the language; I'm not talking about Rails).",5,0.63252,0.6
L1828119025,compsci,Windows XP,Windows Vista,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",0.6386,1.0,0,4,1,WORSE,4,3,2,"Note, that because of my own terrible experiences with <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span>, I had dutifully remained on <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",5,0.78316,0.8
M1996510083,compsci,PHP,Perl,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.",0.6533,0.5,1,1,3,NONE,3,3,2,"<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> community; TMTOWTDI.",5,0.59198,0.6
M1988300932,compsci,Java,Perl,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,1.0,0.5106,0,4,1,WORSE,4,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> has a large user base but it is still easier to find candidates that already know industrial C++ or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",5,0.8042400000000001,0.8
R2873497635,compsci,Windows 7,Windows 8,This time Windows 8 was roughly 8 percent slower than Windows 7.,1.0,1.0,0,6,0,WORSE,6,3,3,"This time <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> was roughly 8 percent slower than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span>.",6,1.0,1.0
H1153354916,compsci,Java,Perl,"I haven't tried the C# and Java interfaces, but I'd expect them to be on the level of C and Perl, respectively, or a bit slower.",1.0,0.5106,0,1,4,NONE,4,3,2,"I haven't tried the C# and <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> interfaces, but I'd expect them to be on the level of C and <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>, respectively, or a bit slower.",5,0.8042400000000001,0.8
H1195626804,compsci,Perl,AWK,"I'm a Perl guy myself, but sometimes AWK is faster and cleaner for extracting data.",1.0,1.0,0,5,0,WORSE,5,3,2,"I'm a <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> guy myself, but sometimes <span style=""color: #6CB219; font-weight: bold"">AWK:[OBJECT_B]</span> is faster and cleaner for extracting data.",5,1.0,1.0
T3239865546,compsci,PHP,JavaScript,"You can do form checking with PHP, but it is much easier to use JavaScript to check the form before posting.",1.0,1.0,0,5,0,WORSE,5,3,2,"You can do form checking with <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span>, but it is much easier to use <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> to check the form before posting.",5,1.0,1.0
T3281768598,compsci,PHP,JavaScript,"You will want some JavaScript (or JQuery) and at some point some server side scripting, I find PHP easier to learn but asp.Net was more functional.",0.3721,1.0,0,3,2,WORSE,3,3,2,"You will want some <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span> (or JQuery) and at some point some server side scripting, I find <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> easier to learn but asp.Net was more functional.",5,0.62326,0.6
H1158795912,compsci,PHP,Perl,"I have written similar mechanisms in Perl, but prefer the PHP solution as it is easier.",1.0,1.0,0,5,0,WORSE,5,3,2,"I have written similar mechanisms in <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span>, but prefer the <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> solution as it is easier.",5,1.0,1.0
