_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,label:confidence,a,also_acceptable,b,expected_label,id,label_gold,marker,raw_text,text_html,text_readable
1534176830,false,finalized,3,1/11/2018 13:03:12,BETTER,0.7138,Ruby,,PHP,W,G1031319964,,TRUE,I can't imagine that PHP is faster than Ruby (the language; I'm not talking about Rails).,"I can't imagine that <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is faster than <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> (the language; I'm not talking about Rails).",I can't imagine that *PHP* is faster than §Ruby$ (the language; I'm not talking about Rails).
1534176831,false,finalized,3,1/11/2018 13:06:49,WORSE,0.6386,Windows XP,,Windows Vista,W,L1828119025,,TRUE,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span>, I had dutifully remained on <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.","Note, that because of my own terrible experiences with *Windows Vista*, I had dutifully remained on §Windows XP$, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles."
1534176832,false,finalized,3,1/11/2018 12:36:51,NONE,0.6698,PHP,,Perl,W,M1996510083,,TRUE,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.","<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> community; TMTOWTDI.","*PHP* would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the §Perl$ community; TMTOWTDI."
1534176833,false,finalized,3,1/11/2018 13:03:12,WORSE,1.0,USB,,Bluetooth,W,L1868520095,,TRUE,"Of course you also have the option of the USB, but personally I liked the Bluetooth better.","Of course you also have the option of the <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span>, but personally I liked the <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> better.","Of course you also have the option of the *USB*, but personally I liked the §Bluetooth$ better."
1534176834,false,finalized,3,1/11/2018 12:35:00,WORSE,1.0,Java,,Perl,W,M1988300932,,TRUE,Perl has a large user base but it is still easier to find candidates that already know industrial C++ or Java.,"<span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> has a large user base but it is still easier to find candidates that already know industrial C++ or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",*Perl* has a large user base but it is still easier to find candidates that already know industrial C++ or §Java$.
1534176835,false,finalized,3,1/11/2018 12:33:41,WORSE,1.0,Windows 7,,Windows 8,W,R2873497635,,TRUE,This time Windows 8 was roughly 8 percent slower than Windows 7.,"This time <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> was roughly 8 percent slower than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span>.",This time *Windows 8* was roughly 8 percent slower than §Windows 7$.
1534176836,false,finalized,3,1/11/2018 12:59:11,OTHER,1.0,Java,,Perl,W,H1153354916,,TRUE,"I haven't tried the C# and Java interfaces, but I'd expect them to be on the level of C and Perl, respectively, or a bit slower.","I haven't tried the C# and <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> interfaces, but I'd expect them to be on the level of C and <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>, respectively, or a bit slower.","I haven't tried the C# and *Java* interfaces, but I'd expect them to be on the level of C and §Perl$, respectively, or a bit slower."
1534176837,false,finalized,3,1/11/2018 12:35:48,WORSE,1.0,Perl,,AWK,W,H1195626804,,TRUE,"I'm a Perl guy myself, but sometimes awk is faster and cleaner for extracting data.","I'm a <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> guy myself, but sometimes <span style=""color: #6CB219; font-weight: bold"">AWK:[OBJECT_B]</span> is faster and cleaner for extracting data.","I'm a *Perl* guy myself, but sometimes §AWK$ is faster and cleaner for extracting data."
1534176838,false,finalized,3,1/11/2018 12:32:03,WORSE,1.0,PHP,,JavaScript,W,T3239865546,,TRUE,"You can do form checking with php, but it is much easier to use javascript to check the form before posting.","You can do form checking with <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span>, but it is much easier to use <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> to check the form before posting.","You can do form checking with *PHP*, but it is much easier to use §JavaScript$ to check the form before posting."
1534176839,false,finalized,3,1/11/2018 12:40:48,OTHER,0.375,PHP,,JavaScript,W,T3281768598,,TRUE,"You will want some Javascript (or JQuery) and at some point some server side scripting, I find PHP easier to learn but asp.Net was more functional.","You will want some <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span> (or JQuery) and at some point some server side scripting, I find <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> easier to learn but asp.Net was more functional.","You will want some *JavaScript* (or JQuery) and at some point some server side scripting, I find §PHP$ easier to learn but asp.Net was more functional."
