id	sentence	a	b	without_marker
N2170271590	Sharp! oys, Microsoft Sync.	Sharp	Microsoft	True
D537958845	C Sharp belongs to Microsoft.	Sharp	Microsoft	True
R2911394895	Toby Sharp Microsoft Research Cambridge	Sharp	Microsoft	True
D432419984	by John Sharp, Microsoft Press	Sharp	Microsoft	True
N2262627416	Sony, Panasonic, Sharp, Nintendo and Microsoft.	Sharp	Microsoft	True
N2170257525	Sharp Licenses Smartphone Patents from Microsoft	Sharp	Microsoft	True
F890139525	// Hello World in Microsoft C# ("C-Sharp").	Sharp	Microsoft	True
L1784447064	National Science Foundation, Microsoft and Sharp	Sharp	Microsoft	True
F800376254	Gee those Microsoft guys are sharp!".	Sharp	Microsoft	True
K1713632150	Microsoft Enters Licensing Agreement with Sharp	Sharp	Microsoft	True
D547819343	Danger got bought by Microsoft, not sharp.	Sharp	Microsoft	True
I1353406552	Is Sharp using any programers from microsoft?	Sharp	Microsoft	True
N2170294256	Sharp talks with Apple, Google, Microsoft: report	Sharp	Microsoft	True
D478698623	Chris Sharp, director for platform strategy for Microsoft in...	Sharp	Microsoft	True
F787357228	( F sharp) A .NET scripting language from Microsoft Research.	Sharp	Microsoft	True
N2261802896	So, Nokia, Motorola, Google, Microsoft, Samsung, Sony, LG, Sharp, etc....	Sharp	Microsoft	True
D411788571	But the comparison to Microsoft is very sharp.	Sharp	Microsoft	True
D551138713	DataViz partners include Microsoft ® , Motorola ® , BlackBerry, Samsung, and Sharp ® .	Sharp	Microsoft	True
E726636280	Fittingly, Microsoft kept Sharp in its employ to develop Kin.	Sharp	Microsoft	True
K1713879206	"Microsoft reaches licensing deal with Sharp" MarketWatch  2:38 PM	Sharp	Microsoft	True
K1713993167	Microsoft Surface display isn't as sharp as iPad's	Sharp	Microsoft	True
B223805519	Although IBM and Hewlett-Packard are duking it out over who performed better, NEC took the top spot in survey.	Hewlett-Packard	NEC	False
E714107232	Filter by Manufacturer: 3Ware Adaptec Addonics ADS Technology ADVANSYS ALI Advanced Logic Research AMCC/3ware American Megatrends ARECA ATI ATTO Bafo Belkin Best Connectivitiy BUSlink Cables Unlimited CardBus Cintre Clone Compaq Cooler Master Creative Labs DEC Dell DIGITAL Digital Storage Works D-Link DOMEX Domex Technology EMC Emulex Encore Equinox eVGA Fieon FORE SYSTEM Fujitsu GOODWAY Hewlett Packard HighPoint Hitachi HM HP IBM Intel I-O Data IO Flex IOGEAR Iomega Kouwell LAVA Lenovo Lexmark LSI LSI Logic LSILogic Lucent Matrox Maxtor Micro Innovations MICROSTAR Misc MOSCHIP M-Tech NEC OEM ORANGE MICRO ORANGE MICRO INC.	Hewlett-Packard	NEC	False
S2978554480	Up next, who's better for business, with BET founder Bob Johnson and former Hewlett-Packard CEO Carly Fiorina.	Hewlett-Packard	Founder	False
D535495915	Criminals use a variety of methods to inject malware into websites, including SQL injection and cross-site scripting, but the attacks are getting more sophisticated and harder to detect, said Caleb Sima, Armorize CEO and founder of SPI Dynamics, which was acquired by Hewlett-Packard Co. in 2007.	Hewlett-Packard	Founder	False
D427945508	Buying Fusion-io, which went public in June with Apple Inc. co-founder Wozniak as chief scientist, could help companies from Dell Inc. to Hewlett-Packard Co. and International Business Machines Corp. make their servers run faster, said Benchmark Co. and Piper Jaffray Cos.	Hewlett-Packard	Founder	False
F846553306	HANNOVER, Germany-Fusion-io, which makes enterprise solid-state storage arrays and recently signed Apple co-founder Steve Wozniak as its chief scientist, announced an OEM deal here March 3 with Hewlett-Packard to provide the huge systems company with its new StorageWorks IO Accelerator.	Hewlett-Packard	Founder	False
F834955918	Greg Schulz, founder and analyst with the StorageIO Group, pointed out that IBM and Hewlett-Packard Co. (HP) have also recently added better data discovery and archiving capabilities for structured data with IBM's acquisition of Princeton Softech last week and HP's acquisition of database archiver OuterBay Technologies Inc. last year.	Hewlett-Packard	Founder	False
C365720024	Asked by a shareholder to respond to concerns about Genentech's loss of independence to a foreign company, Genentech director David Packard, co-founder of high-tech giant Hewlett-Packard, said: "We tried very hard to find a better way to maintain the tremendous capabilities of this company. . . .	Hewlett-Packard	Founder	False
F769946369	Foundation chairman Susan Packard Orr, a daughter of HP co-founder David Packard, said in a statement Friday that "after thorough study and analysis the board has preliminarily decided, on balance, that the best interests of the foundation would be better served by Hewlett-Packard not proceeding with the proposed transaction."	Hewlett-Packard	Founder	False
K1655813364	LSI joined Compellent Technologies Inc., EMC Corp., Fujitsu, Hewlett-Packard Co., Hitachi Data Systems, IBM and Sun in using STEC solid-state drives .	Fujitsu	Hewlett-Packard	False
G1024595254	IBM maintained a stranglehold on worldwide server revenues in the second quarter while Hewlett-Packard grew slower than the market average and Sun and Fujitsu Siemens saw declines, according to market analyst Gartner.	Fujitsu	Hewlett-Packard	False
G1024595253	IBM maintained a stranglehold on worldwide server revenues in the second quarter while Hewlett-Packard grew slower than the market average and Sun and Fujitsu Siemens saw declines, according to mar... 22 Aug 2008	Fujitsu	Hewlett-Packard	False
N2246502698	Some companies, like Hewlett-Packard , Fujitsu and Pillar Data Systems , argue that the best place to take advantage of SSD performance is directly attached to the server's PCIe bus, rather than behind a network and storage controller many times slower than the drive itself.	Fujitsu	Hewlett-Packard	False
P2437037960	The class action, lodged by attorneys Shepherd, Finkelman, Miller and Shah on October 23 in the Superior Court of the State of California, names the defendants as Fujitsu Computer Products US, Hewlett-Packard (whose Pavilion 7845, the suit alleges, suffered multiple failures due to the problem) and up to 100 other (currently unknown) defendants.	Fujitsu	Hewlett-Packard	False
K1733831079	Moreover, the tighter coupling of mainframe, Power, and x64 systems into a single product makes it harder for Hewlett-Packard, Dell, and Fujitsu to sell x64 racks and blades into mainframe shops because they won't have the Uniform Resource Manager special sauce that IBM is adding to its Systems Director tools with the z196 machine.	Fujitsu	Hewlett-Packard	False
O2321774310	Sun and Fujitsu officials said the alliance will enable the companies to better compete with the likes of IBM and Hewlett-Packard Co. Sun is aiming to create a line of x86-based systems powered by Advanced Micro Devices Inc.s Opteron processor, and industry observers had questioned whether the company had the resources to do that while continuing development of its SPARC chip.	Fujitsu	Hewlett-Packard	False
L1787977236	NEC and Fujitsu also said first-quarter earnings from chips were better than their estimates for the period.	Fujitsu	NEC	False
N2167784245	SGI did much better when the US government was afraid of Japanese imports - not cars, but NEC and Fujitsu supercomputers.	Fujitsu	NEC	False
B270273329	And of course you never heard of Cray, NEC, Fujitsu or Hitachi for that matter..... the had even better specfp to Mhz ratio than the R8K.	Fujitsu	NEC	False
I1303751085	In the early and mid-1980s Japanese companies ( Fujitsu , Hitachi and Nippon Electric Corporation (NEC) introduced register-based vector machines similar to the Cray-1, typically being slightly faster and much smaller.	Fujitsu	NEC	False
J1543833197	Japanese companies Fujitsu Limited, NEC, and Anritsu today have demonstrated an optical network interface technology that will allow 100 gigabit-class communications over multiple optical networks, some 2.5- to 10-times faster than current speeds.	Fujitsu	NEC	False
P2472199874	The eight main domestic makers of cell phones over here (Casio, Hitachi, NEC, Sharp, Toshiba, Fujitsu, Panasonic and Kyocera) sold 19 percent fewer handsets in 2008 and things look even worse in 2009.	Fujitsu	NEC	False
N2243625033	Solid-CHF electronic Since its inception in 2007, has successfully launched SONY, IBM, DELL, HP, COMPAQ, TOSHIBA, ACER, APPLE, FUJITSU, ASUS, SAMSUNG, NEC, CANON and so on nearly a dozen more...	Fujitsu	NEC	False
D509660314	Computations were performed on a NEC SX-9 at the Institute for Solid-State Physics, The University of Tokyo, and a Fujitsu PrimeQuest at the Research Center for Computational Science, Okazaki Research Facilities, National Institutes of Natural Sciences.	Fujitsu	NEC	False
F788308870	Fujitsu, Genius, IBM Corporation, ITAC Systems, Jing Mold, Key Tronic, Logitech, Maxi Switch, Inc., Microsoft, Monterey, NEC, NMB, Olivetti, Ortek, Philips, Qtronix, Samsung, Sejin, Silitek, Solid Year, STSL, SUH DART, SUPERGATE, SUPGERGATE	Fujitsu	NEC	False
