id	sentence	a	b	marker
P2543951717	The Lenovo 20BS0035US has 512 GB SSD which makes all essential data and entertainment files handy.The Lenovo 20BS0035US has two USB 3.0 ports which enables 10 times faster file transfer and has Ethernet, Bluethooth 4.0 and WLAN IEEE 802.11 a/b/g/n/ac standard for network communication.	USB	Ethernet	True
K1636949974	Listen up, Taylor Swift, Carrie Underwood and Miranda Lambert!	Swift	Miranda	False
F745420509	For example, the cheap Nexus 7 2013 "only" has Qi, truly stereo speakers, full Bluetooth support, f.lux-alikes, USB OTG and decent, high-quality HDMI output via SlimPort of the list.	USB	Bluetooth	True
M2003440362	Platforms Covered: IOS, Android , Windows Mobile We've attached an example of the design	Windows Mobile	iOS	False
M1946718498	Our Email Hosting is compatible on all major Operating systems such as iOS, Android, Windows Mobile, Symbian and Blackberry.	Windows Mobile	iOS	False
K1742896227	Most people that support Direct3D say that it is faster than OpenGL, what they fail to realize is that it is not the API that is faster but the driver.	OpenGL	Direct3D	True
Q2764053347	The women of country dominated Sunday night's 48th Annual Academy of Country Music Awards with Miranda Lambert taking home the most awards of the evening and artists including Taylor Swift and Kelly Clarkson giving stand-out performances, per usual.	Swift	Miranda	False
F757142679	For Postgresql and Microsoft SQL Server:	PostgreSQL	Microsoft SQL Server	False
F786072423	From what I have heard the Mclarens can afford to use more wing due to their duct and im guessing Alonso isnt doing that which explains why he is fast through S1 but slower in S2 and S3.	S2	S3	True
J1434747584	It's a good price, good equipment, and has the best ports I've seen so far--it has two USB 2 and a IEEE1394 (better known as Apple's FireWire), as well as standard video, S-video, 10/100 Ethernet, a modem, and headphone and microphone jacks.	USB	Ethernet	True
A115594090	A better approach is to use a deployment tool such as the Microsoft Visual Studio® Installer.	Visual Studio	Microsoft Visual Studio	True
